date,open,high,low,close,volume
2022-07-11,115.15,119.3,114.75,118.95,31522017
2022-07-12,118.35,120.1,117.05,117.6,25216226
2022-07-13,116.05,118.35,115.05,117.95,27166975
2022-07-14,117.9,125.65,117.3,120.5,38464081
2022-07-15,120.95,121.65,118.1,119.9,18088858
2022-07-18,120.4,123.85,120.3,123.1,21010247
2022-07-19,123.65,126.25,117.95,121.25,33778758
2022-07-20,127.95,129.45,125.3,125.6,60317150
2022-07-21,126.05,126.5,124.9,126.15,20853780
2022-07-22,126.8,126.8,124.7,125.5,11630255
2022-07-25,125.1,125.5,121.65,123.05,21705935
2022-07-26,124.0,124.75,121.1,121.45,22172845
2022-07-27,122.35,123.35,121.15,121.85,20187969
2022-07-28,123.55,123.65,121.5,123.4,25736737
2022-07-29,123.6,127.45,123.1,127.15,19738642
2022-08-01,127.1,131.7,126.25,131.2,20592826
2022-08-02,129.55,129.85,127.55,129.55,15037928
2022-08-03,128.9,131.25,126.8,128.55,15853543
2022-08-04,127.35,129.95,127.0,129.15,14311959
2022-08-05,128.0,131.25,126.6,129.4,66480753
2022-08-08,129.2,130.3,128.0,129.4,12451233
2022-08-10,129.3,129.6,126.45,126.8,15829467
2022-08-11,127.45,128.9,125.15,125.85,19479706
2022-08-12,126.9,132.4,126.5,131.9,40876891
2022-08-16,132.2,134.5,129.0,132.65,31230003
2022-08-17,132.65,133.45,131.45,132.35,15694770
2022-08-18,131.05,131.1,127.65,128.45,42597708
2022-08-19,130.3,131.25,127.05,127.55,35382493
2022-08-22,127.45,127.45,123.05,125.0,31231393
2022-08-23,125.0,127.2,123.3,126.75,24268146
2022-08-24,127.65,130.2,127.45,128.9,22730039
2022-08-25,129.8,130.95,129.05,129.45,14620592
2022-08-26,129.4,131.05,129.0,129.5,12105053
2022-08-29,127.2,129.45,126.75,128.8,9198908
2022-08-30,130.7,132.55,130.35,131.35,21720398
2022-09-01,127.95,129.15,127.15,127.65,20349294
2022-09-02,127.65,128.65,125.4,125.8,17495310
2022-09-05,125.95,126.9,125.7,126.4,14865879
2022-09-06,127.1,127.15,124.8,125.2,10870488
2022-09-07,124.15,126.0,123.25,125.55,12042788
2022-09-08,124.75,127.15,124.65,124.95,14629497
2022-09-09,125.55,127.2,125.05,127.0,12327341
2022-09-12,127.95,128.3,126.6,127.0,13500202
2022-09-13,127.2,128.05,126.5,126.9,10846178
2022-09-14,125.5,127.1,125.1,126.25,8597956
2022-09-15,126.6,127.4,125.1,125.65,10810473
2022-09-16,124.25,125.1,123.2,124.4,20909579
2022-09-19,125.2,127.35,122.95,123.7,19411428
2022-09-20,124.55,126.6,124.45,126.25,13080582
2022-09-21,125.3,126.25,123.25,124.05,11156865
2022-09-22,123.55,124.0,121.4,121.9,11366882
2022-09-23,121.5,122.35,120.85,121.85,10407849
2022-09-26,120.65,122.05,116.25,117.0,12848954
2022-09-27,117.85,121.25,117.35,117.95,14465123
2022-09-28,117.45,117.45,115.15,116.15,15267018
2022-09-29,117.05,121.45,117.05,120.0,20597761
2022-09-30,118.95,125.45,118.95,120.15,33530494
2022-10-03,124.8,127.95,123.75,125.45,50966493
2022-10-04,127.85,127.95,124.9,126.9,14137567
2022-10-06,129.4,129.45,125.45,125.7,14570735
2022-10-07,125.15,127.25,124.35,127.05,13532236
2022-10-10,126.05,127.0,125.3,126.3,10183057
2022-10-11,126.3,126.5,123.4,124.25,13176461
2022-10-12,124.25,125.1,122.35,124.5,9401804
2022-10-13,124.35,124.95,121.0,123.1,13320136
2022-10-14,125.1,125.85,120.4,120.95,13205955
2022-10-17,120.35,121.45,119.4,121.15,9320940
2022-10-18,121.7,122.35,120.95,121.95,6490293
2022-10-19,121.95,121.95,120.75,121.15,7381712
2022-10-20,120.35,124.15,119.25,122.85,18748363
2022-10-21,122.6,126.4,122.0,124.7,11945173
2022-10-24,126.05,127.0,125.45,125.85,2154912
2022-10-25,125.5,125.95,123.1,123.9,10232002
2022-10-27,123.9,125.3,123.45,124.9,13865026
2022-10-28,125.2,128.5,124.9,126.7,22918037
2022-10-31,127.4,128.1,125.85,127.05,8753855
2022-11-01,127.1,128.6,127.1,128.05,11630848
2022-11-02,128.75,131.9,128.25,129.35,21117499
2022-11-03,129.3,129.55,128.15,129.3,7561534
2022-11-04,129.3,131.2,128.95,130.65,7498344
2022-11-07,131.3,131.7,129.6,131.3,9987481
2022-11-09,131.65,131.7,129.8,131.4,12033732
2022-11-10,130.3,133.5,130.2,132.55,15908521
2022-11-11,133.25,133.9,131.9,133.1,18492513
2022-11-14,133.25,133.6,131.35,131.95,12743505
2022-11-15,132.7,135.85,132.7,134.9,24636519
2022-11-16,135.35,135.8,133.8,135.45,11460200
2022-11-17,134.5,136.25,134.3,135.7,13368536
2022-11-18,135.65,135.75,132.9,134.35,19958908
2022-11-21,128.9,129.25,127.4,128.35,16348881
2022-11-22,127.9,128.8,125.95,128.1,11198874
2022-11-23,128.45,129.5,127.5,129.4,9010911
2022-11-24,129.4,132.7,128.4,132.15,11803087
2022-11-25,131.7,133.9,130.55,133.2,9789098
2022-11-28,132.2,133.8,131.75,132.3,8925344
2022-11-29,132.75,133.7,132.2,132.9,13558920
2022-11-30,132.3,134.4,132.3,133.7,17720938
2022-12-01,134.05,134.55,132.5,132.75,27727625
2022-12-02,134.45,137.25,133.2,133.55,24518337
2022-12-05,134.1,136.4,133.25,136.2,18440387
2022-12-06,135.4,135.65,133.75,135.0,10977472
2022-12-07,133.45,134.35,132.8,133.3,9731670
2022-12-08,133.85,135.55,133.0,135.2,10150945
2022-12-09,135.05,135.5,132.95,133.35,9438307
2022-12-12,132.7,135.05,131.9,134.9,8946335
2022-12-13,135.6,137.1,135.1,136.8,12593054
2022-12-14,136.8,140.85,136.55,139.85,17692988
2022-12-15,139.9,141.05,139.0,139.7,11426194
2022-12-16,140.6,142.65,139.35,139.5,20540447
2022-12-19,139.4,139.8,137.45,138.15,10635055
2022-12-20,137.85,138.55,135.6,138.2,6714207
2022-12-21,138.85,139.15,135.25,136.0,10011408
2022-12-22,137.45,137.6,134.15,134.8,9123323
2022-12-23,133.25,136.0,132.0,132.5,8007752
2022-12-26,133.15,135.4,132.2,133.9,7150680
2022-12-27,134.65,137.75,134.65,137.25,8765357
2022-12-28,135.95,137.1,135.25,136.35,9534858
2022-12-29,135.3,138.35,135.05,137.1,36752195
2022-12-30,137.8,141.0,137.0,139.1,9644998
2023-01-02,139.6,142.9,139.55,142.6,9631496
2023-01-03,141.85,142.7,140.25,141.7,14991139
2023-01-04,141.05,141.05,137.45,138.6,13535874
2023-01-05,138.2,139.35,136.6,138.85,16320559
2023-01-06,139.05,140.35,138.65,139.65,16804116
2023-01-09,141.5,142.35,140.05,140.4,18660445
2023-01-10,140.85,142.45,140.85,141.55,18490715
2023-01-11,141.7,142.15,138.6,139.15,12538238
2023-01-12,139.95,140.5,138.1,138.5,13270422
2023-01-13,138.75,139.75,138.25,139.3,8854484
2023-01-16,139.95,140.05,138.35,139.85,9696320
2023-01-17,140.55,141.2,139.0,140.1,18484595
2023-01-18,140.5,141.9,140.45,141.45,12139643
2023-01-19,140.3,144.15,140.3,143.8,18437610
2023-01-20,144.05,144.5,142.65,143.7,17512691
2023-01-23,144.55,145.1,143.45,144.35,16742252
2023-01-24,144.35,145.2,143.7,144.2,8276792
2023-01-25,143.35,145.4,143.25,144.45,9827342
2023-01-27,144.45,146.05,138.95,139.9,13052535
2023-01-30,139.75,141.05,135.75,137.35,12688399
2023-01-31,137.6,140.15,136.7,137.35,19050398
2023-02-01,138.15,138.35,134.9,136.7,11526089
2023-02-02,135.55,137.45,133.3,135.95,11886667
2023-02-03,136.0,137.75,132.8,136.75,9250428
2023-02-06,134.3,136.65,134.2,136.0,6436143
2023-02-07,136.35,137.4,134.75,137.1,8681511
2023-02-08,137.75,138.25,135.65,136.35,10325869
2023-02-09,137.1,138.75,135.7,138.55,8078404
2023-02-10,138.5,139.35,137.25,139.05,6396208
2023-02-13,139.7,141.05,138.95,140.4,6563018
2023-02-14,140.9,141.4,139.35,140.7,6991500
2023-02-15,141.2,141.6,137.85,139.75,12631259
2023-02-16,142.15,148.25,140.65,147.75,30949761
2023-02-17,147.4,150.5,146.3,148.4,19874561
2023-02-20,149.0,149.55,146.3,146.75,8348393
2023-02-21,146.8,147.75,145.45,146.0,7599927
2023-02-22,146.15,146.4,143.75,145.6,9599697
2023-02-23,145.7,148.0,145.25,146.55,18675946
2023-02-24,143.8,147.25,141.9,146.9,14648507
2023-02-27,145.9,147.85,145.0,147.15,11904749
2023-02-28,146.05,147.35,143.3,144.1,17607584
2023-03-01,144.05,147.0,143.9,146.7,7707977
2023-03-02,146.4,146.95,144.65,145.95,8219892
2023-03-03,145.9,147.6,145.45,146.15,8260104
2023-03-06,146.6,151.35,145.55,149.9,14491522
2023-03-08,148.35,150.55,148.2,149.95,7339476
2023-03-09,150.75,150.8,147.85,148.1,5314022
2023-03-10,147.5,148.5,146.1,147.65,4689681
2023-03-13,148.0,149.75,147.1,147.65,8785721
2023-03-14,147.65,148.65,145.05,145.3,7177342
2023-03-15,145.9,146.35,143.85,144.55,9832270
2023-03-16,143.3,145.4,140.25,144.25,18551936
2023-03-17,145.5,146.8,144.0,145.15,16593429
2023-03-20,145.0,146.05,143.7,144.3,8749355
2023-03-21,145.15,145.75,143.05,143.65,6148489
2023-03-22,144.4,144.8,142.95,143.65,4329409
2023-03-23,143.2,145.15,142.45,144.8,4484564
2023-03-24,144.7,145.2,141.05,141.6,8301726
2023-03-27,141.7,144.45,141.45,142.4,7437261
2023-03-28,142.4,142.4,139.0,139.5,8964539
2023-03-29,139.55,142.95,138.85,141.55,24012834
2023-03-31,142.25,145.0,142.2,143.15,7998472
2023-04-03,146.4,149.6,145.1,145.65,20016785
2023-04-05,148.55,149.15,144.55,144.9,15880397
2023-04-06,145.2,145.45,142.55,142.7,10670936
2023-04-10,142.8,149.25,142.15,148.95,17431401
2023-04-11,148.9,150.95,148.2,150.75,13305621
2023-04-12,150.7,150.75,148.4,149.4,7333339
2023-04-13,149.85,152.1,149.75,150.45,11610851
2023-04-17,150.8,152.05,149.75,151.8,9358885
2023-04-18,151.8,152.15,151.05,151.75,8008560
2023-04-19,150.0,152.05,149.8,151.75,11374283
2023-04-20,151.25,151.75,150.2,150.8,5733670
2023-04-21,150.6,151.5,150.4,151.25,3512214
2023-04-24,151.25,152.35,150.95,151.9,7028440
2023-04-25,151.85,153.35,151.65,152.25,10169778
2023-04-26,151.65,153.15,151.4,152.7,9177783
2023-04-27,151.85,152.45,151.25,151.7,6456825
2023-04-28,151.45,151.45,146.75,150.65,12656744
2023-05-02,151.15,156.15,151.0,155.7,16612560
2023-05-03,154.35,154.8,152.45,152.7,8029435
2023-05-04,152.4,152.75,150.85,152.55,9929482
2023-05-05,152.6,153.5,151.35,151.9,5488707
2023-05-08,151.9,156.7,151.65,156.35,9699470
2023-05-09,156.35,157.8,155.8,156.6,7600834
2023-05-10,156.6,158.9,156.35,158.2,10901429
2023-05-11,157.4,159.85,157.4,158.3,7877677
2023-05-12,159.35,160.15,156.35,156.85,16373574
2023-05-15,156.85,157.9,155.8,156.95,8559162
2023-05-16,159.5,159.7,158.0,159.2,12249266
2023-05-17,159.2,159.2,157.4,158.5,7360259
2023-05-18,158.75,159.65,157.35,157.65,7433090
2023-05-19,157.5,158.0,155.45,156.25,5969632
2023-05-22,155.55,157.7,155.55,156.95,7331865
2023-05-23,156.95,158.3,155.85,156.35,10119254
2023-05-24,156.35,157.75,156.0,157.55,6107980
2023-05-25,157.55,158.65,156.6,157.35,8077606
2023-05-26,157.35,158.65,153.85,155.2,14873707
2023-05-29,151.65,151.9,148.3,150.7,43253971
2023-05-30,151.35,153.25,149.05,150.55,16117505
2023-05-31,150.7,151.05,142.2,146.8,83741017
2023-06-01,146.6,147.8,145.2,145.65,13982606
2023-06-02,146.9,146.9,145.4,146.6,9851058
2023-06-05,147.4,147.8,146.35,147.3,11850547
2023-06-06,147.4,147.75,145.2,145.65,8118800
2023-06-07,145.6,146.4,144.55,145.8,12180164
2023-06-08,146.4,148.45,146.1,147.9,13850599
2023-06-09,148.5,148.7,145.75,146.15,11764248
2023-06-12,146.75,147.15,144.6,146.95,11017643
2023-06-13,147.1,148.0,146.15,147.55,10073644
2023-06-14,147.9,150.1,147.7,149.6,9695952
2023-06-15,149.25,149.65,148.0,149.4,7426254
2023-06-16,149.95,150.35,148.15,148.8,11466647
2023-06-19,149.65,150.15,148.3,149.55,4718221
2023-06-20,149.3,149.55,148.35,149.05,6059738
2023-06-21,148.8,152.15,148.4,151.85,8284206
2023-06-22,151.85,152.5,149.25,150.65,10629027
2023-06-23,150.7,150.7,147.3,148.7,8722650
2023-06-26,148.8,149.95,147.7,148.7,4273205
2023-06-27,150.55,150.55,149.15,149.6,9730174
2023-06-28,149.6,151.8,148.35,150.25,40243993
2023-06-30,152.55,152.55,150.65,151.9,7840112
2023-07-03,151.9,154.7,151.65,154.35,9548822
2023-07-04,154.0,154.35,151.65,152.75,5394282
2023-07-05,153.55,155.8,152.9,154.25,8795342
2023-07-06,154.25,157.15,154.05,156.75,9845699
2023-07-07,156.85,157.35,154.25,154.95,7597171
2023-07-10,155.35,156.75,154.0,154.2,5437687
2023-07-11,154.7,156.45,154.35,155.95,6343183
2023-07-12,157.3,160.15,156.6,158.9,15614026
2023-07-13,159.85,160.45,158.45,159.0,11350009
2023-07-14,160.15,160.85,159.4,160.4,9448062
2023-07-17,159.0,159.6,157.45,157.7,4968847
2023-07-18,157.7,159.35,157.35,158.15,4322257
2023-07-19,158.45,159.15,157.4,158.0,5968174
2023-07-20,158.25,159.3,157.35,158.45,5217131
2023-07-21,158.6,162.1,157.8,161.65,7842863
2023-07-24,162.65,163.25,161.35,162.1,8451631
2023-07-25,163.0,164.25,162.3,163.95,10480578
2023-07-26,164.75,165.2,163.0,163.9,9103949
2023-07-27,164.35,164.55,161.8,162.1,7731146
2023-07-28,161.8,165.8,160.05,162.8,9004252
2023-07-31,163.8,168.2,162.4,167.8,9277749
2023-08-01,166.15,167.75,165.2,167.45,5584773
2023-08-02,167.75,169.3,164.9,166.75,8975495
2023-08-03,166.1,166.6,162.5,163.1,6152393
2023-08-04,164.25,165.35,163.1,164.25,4605271
2023-08-07,165.2,165.4,163.1,163.9,2240015
2023-08-08,163.9,164.7,163.6,164.25,3631238
2023-08-09,164.25,168.0,164.2,167.65,4852294
2023-08-10,168.75,170.35,167.65,169.3,10430692
2023-08-11,169.55,170.3,167.45,167.95,4112277
2023-08-14,170.55,171.0,168.1,168.7,12876956
2023-08-16,167.1,170.1,166.6,169.7,8371665
2023-08-17,169.35,169.75,167.85,168.45,5199363
2023-08-18,168.35,168.35,165.05,166.15,6734650
2023-08-21,166.15,167.1,165.2,166.85,3599820
2023-08-22,166.85,168.6,166.4,166.95,5348036
2023-08-23,167.75,167.95,165.85,166.3,6379611
2023-08-24,166.3,167.45,163.8,164.05,7976333
2023-08-25,164.05,166.1,163.85,165.55,4757915
2023-08-28,165.95,166.6,165.45,166.05,4354221
2023-08-29,166.4,166.9,165.8,166.5,4596468
2023-08-30,166.5,167.65,165.85,166.55,5937955
2023-08-31,166.6,166.8,164.0,165.05,15823452
2023-09-01,165.3,175.1,165.3,172.25,22460960
2023-09-04,174.25,174.8,172.25,173.4,10998180
2023-09-05,173.9,176.3,172.85,173.55,13506519
2023-09-06,175.25,176.95,172.8,173.5,11954407
2023-09-07,175.3,175.5,171.55,172.25,11137801
2023-09-08,172.95,175.25,172.45,174.8,9737214
2023-09-11,175.75,176.25,172.75,173.8,10845871
2023-09-12,175.2,175.25,170.75,171.45,15524470
2023-09-13,172.35,175.05,171.45,174.3,10578786
2023-09-14,175.1,179.0,174.55,178.1,17746404
2023-09-15,181.7,181.7,175.9,176.9,19924829
2023-09-18,176.1,177.7,175.4,176.95,5022956
2023-09-20,176.7,179.6,176.45,178.4,12687099
2023-09-21,178.5,178.55,176.35,176.9,7814108
2023-09-22,176.85,177.9,175.3,175.4,7814821
2023-09-25,176.3,176.9,175.55,175.8,5540062
2023-09-26,176.3,178.35,175.55,177.95,12446655
2023-09-27,179.4,179.4,176.55,177.45,5630907
2023-09-28,179.0,179.6,176.75,177.65,14890642
2023-09-29,178.6,182.2,178.35,181.8,10085766
2023-10-03,179.4,179.4,174.05,174.95,22118500
2023-10-04,174.8,174.95,172.55,173.2,9360058
2023-10-05,171.8,174.35,171.55,172.65,11128340
2023-10-06,173.9,173.9,171.15,172.0,5759904
2023-10-09,173.35,175.05,171.8,172.2,14622727
2023-10-10,172.75,174.85,172.5,173.9,11819690
2023-10-11,174.75,175.05,173.2,173.65,8499601
2023-10-12,173.65,175.2,173.45,174.8,8677885
2023-10-13,174.85,176.5,174.4,175.25,7435899
2023-10-16,178.15,178.4,176.5,176.8,12376549
2023-10-17,177.2,177.25,175.85,176.5,4381065
2023-10-18,178.2,178.25,176.35,177.15,10181113
2023-10-19,176.3,176.9,175.35,176.55,9148124
2023-10-20,177.2,177.5,175.45,176.45,7912216
2023-10-23,176.25,176.25,174.55,175.2,4723090
2023-10-25,175.2,176.15,173.45,174.7,6812004
2023-10-26,173.9,174.5,170.45,171.45,8474867
2023-10-27,171.55,176.1,170.85,175.1,6422123
2023-10-30,175.3,179.3,174.95,178.9,7352638
2023-10-31,179.3,179.9,174.55,176.4,9404675
2023-11-01,176.4,178.9,175.35,176.9,9167869
2023-11-02,177.2,177.85,176.05,176.45,11471209
2023-11-03,176.9,180.65,176.1,180.1,7464912
