Symbol,Swing Low,Swing High,Fib Zone,Current Price,Confidence
ARENTERP,44.58,59.95,50.45 - 54.08,52.35,99.9
AUROPHARMA,1082.5,1191.3,1124.06 - 1149.74,1147.7,99.43
IRISDOREME-BE,29.86,35.08,31.85 - 33.09,32.75,99.48
SPIC,81.86,91.97,85.72 - 88.11,85.96,99.34
ARIHANTCAP,72.0,91.34,79.39 - 83.95,83.9,98.36
PUNJABCHEM,1089.8,1274.2,1160.24 - 1203.76,1163.8,99.08
KESORAMIND-BE,3.13,6.99,4.6 - 5.52,5.11,99.41
AAVAS,1850.5,2092.5,1942.94 - 2000.06,1973.6,99.94
FINOPB,238.99,299.37,262.06 - 276.3,274.0,98.93
NH,1722.7,2263.2,1929.17 - 2056.73,1964.9,99.16
AEROENTER,91.23,103.63,95.97 - 98.89,97.32,99.93
VISASTEEL-BE,32.35,37.47,34.31 - 35.51,34.97,99.9
MALUPAPER,38.73,43.54,40.57 - 41.7,41.68,99.21
ZENITHSTL-BE,6.87,8.85,7.63 - 8.09,7.9,99.69
WHIRLPOOL,1225.2,1407.6,1294.88 - 1337.92,1333.0,99.24
LORDSCHLO,149.76,174.29,159.13 - 164.92,161.88,99.95
PYRAMID,158.49,184.09,168.27 - 174.31,173.37,99.27
PERSISTENT,5519.0,6082.5,5734.26 - 5867.24,5784.0,99.83
POWERINDIA,17780.0,20007.0,18630.71 - 19156.29,19115.0,99.3
JIWANRAM-ST,6.3,11.8,8.4 - 9.7,8.85,98.67
ENDURANCE,2401.1,2884.5,2585.76 - 2699.84,2622.4,99.54
ARABIAN-SM,70.15,89.95,77.71 - 82.39,80.3,99.81
SASTASUNDR,259.35,307.85,277.88 - 289.32,280.05,99.25
SCHAND,209.18,239.83,220.89 - 228.12,225.7,99.68
SURAJEST,309.1,367.85,331.54 - 345.41,338.6,99.98
RHFL-BE,2.97,7.78,4.81 - 5.94,5.33,99.5
ZENITHDRUG-ST,66.25,75.0,69.59 - 71.66,71.35,99.38
SHREEKARNI-SM,569.55,642.5,597.42 - 614.63,608.65,99.74
PVSL,121.75,136.6,127.42 - 130.93,129.71,99.75
GODIGIT,290.6,361.8,317.8 - 334.6,331.0,99.12
DEEDEV,286.65,322.55,300.36 - 308.84,308.35,99.26
AGIIL,872.0,998.55,920.34 - 950.21,942.95,99.51
TIJARIA,6.42,9.39,7.55 - 8.26,8.18,97.91
BIKEWO-ST,16.25,22.3,18.56 - 19.99,19.8,98.37
MEP-BZ,1.19,2.53,1.7 - 2.02,1.85,99.68
PREMIUM-SM,27.05,43.3,33.26 - 37.09,35.0,99.7
INDUSTOWER,380.35,425.75,397.69 - 408.41,406.25,99.52
BHARATSE-BE,99.59,113.43,104.88 - 108.14,105.76,99.58
SAHAJ-SZ,7.35,11.3,8.86 - 9.79,9.25,99.52
