Symbol,Entry,SL,Target,Proximity_to_MA,MA_Slope,Strength,Confidence
RVHL,50.44,50.17,50.98,0.54,0.96,95% above MA (last 20),68.86
GENCON-BE,40.31,39.75,41.43,1.41,1.63,100% above MA (last 20),70.67
PEARLPOLY,30.72,30.7,30.76,0.06,0.32,75% above MA (last 20),62.79
JAYAGROGN,256.25,254.11,260.53,0.84,3.79,70% above MA (last 20),61.11
AXISCETF,120.54,118.33,124.96,1.86,1.08,90% above MA (last 20),66.53
NYKAA,202.59,199.78,208.21,1.41,2.26,65% above MA (last 20),59.28
FOCUS-BE,106.94,106.52,107.78,0.39,2.06,100% above MA (last 20),70.42
92GS2030-GS,118.19,116.43,121.71,1.51,0.57,80% above MA (last 20),63.54
SONUINFRA-SM,130.0,129.37,131.26,0.49,2.04,65% above MA (last 20),59.78
TCI,1145.3,1130.03,1175.84,1.35,11.41,90% above MA (last 20),66.76
PONNIERODE,336.9,334.42,341.86,0.74,2.58,75% above MA (last 20),62.44
MOMENTUM,31.75,31.32,32.61,1.37,0.5,100% above MA (last 20),69.93
79NHIT40-N2,310.7,310.26,311.58,0.14,0.74,90% above MA (last 20),67.02
NRL-BE,77.83,77.14,79.21,0.89,3.83,100% above MA (last 20),71.13
NAGREEKEXP,29.14,28.88,29.66,0.89,0.48,85% above MA (last 20),65.64
AVG,290.25,287.43,295.89,0.98,9.34,100% above MA (last 20),70.58
EBBETF0430,1529.07,1517.89,1551.43,0.74,4.01,100% above MA (last 20),69.78
REFEX,454.25,450.35,462.05,0.87,6.04,80% above MA (last 20),64.06
CONCORDBIO,1793.0,1762.16,1854.68,1.75,56.27,95% above MA (last 20),68.76
SRGHFL,314.1,311.37,319.56,0.88,1.19,65% above MA (last 20),59.26
KIOCL,292.8,289.75,298.9,1.05,8.14,100% above MA (last 20),70.42
INDIASHLTR,879.35,876.11,885.83,0.37,2.21,85% above MA (last 20),65.43
APS-ST,547.35,538.67,564.71,1.61,26.84,95% above MA (last 20),69.35
SBILIFE,1816.9,1794.2,1862.3,1.26,21.9,100% above MA (last 20),69.86
SCILAL,53.68,52.94,55.16,1.4,1.17,100% above MA (last 20),70.1
EVINDIA,29.41,29.15,29.93,0.9,0.42,100% above MA (last 20),70.08
GROWWEV,29.26,29.11,29.56,0.51,0.41,100% above MA (last 20),70.22
LICMFGOLD,8856.25,8769.76,9029.23,0.99,21.37,90% above MA (last 20),66.68
JISLDVREQS,31.54,31.52,31.58,0.07,0.73,100% above MA (last 20),70.67
