date,open,high,low,close,volume
2021-07-05,110.0,111.4,105.0,106.8,4543973
2021-07-06,105.5,112.1,103.2,111.9,6847388
2021-07-07,110.65,110.9,107.0,109.8,3037009
2021-07-08,109.8,110.6,107.1,108.75,2375171
2021-07-09,108.85,110.95,107.0,109.55,2249268
2021-07-12,110.65,110.95,108.0,108.2,1987553
2021-07-13,109.0,109.8,106.05,106.75,2049450
2021-07-14,107.8,108.5,104.8,105.05,2239191
2021-07-15,105.05,106.0,103.25,104.1,2351596
2021-07-16,104.1,107.9,102.0,105.65,3420046
2021-07-19,105.65,107.75,100.45,102.15,5073034
2021-07-20,97.05,98.8,97.05,97.05,4880468
2021-07-22,92.2,101.9,92.2,101.8,6077944
2021-07-23,101.45,104.6,97.2,100.45,3575596
2021-07-26,100.45,100.5,97.55,97.95,1603624
2021-07-27,97.0,97.65,94.05,94.75,2641412
2021-07-28,94.75,98.9,91.5,97.05,2816313
2021-07-29,98.45,98.5,95.05,95.4,1394213
2021-07-30,95.2,97.0,94.0,95.85,1305492
2021-08-02,96.5,97.85,91.9,92.85,6512680
2021-08-03,94.5,96.3,91.3,91.85,6522676
2021-08-04,93.6,94.0,90.0,90.25,5287541
2021-08-05,92.0,92.95,87.0,88.15,4137929
2021-08-06,92.2,92.55,89.1,92.55,4321632
2021-08-09,94.7,95.5,89.55,90.35,3385305
2021-08-10,91.0,91.35,85.85,85.85,3720177
2021-08-11,81.8,85.0,81.6,83.4,5352153
2021-08-12,81.9,86.8,81.1,85.0,3362033
2021-08-13,86.45,86.6,84.6,84.95,1778246
2021-08-16,84.9,84.95,82.2,83.05,1696098
2021-08-17,83.0,83.3,78.95,79.95,4691295
2021-08-18,79.95,80.0,76.5,77.3,5336843
2021-08-20,75.25,79.7,74.15,77.45,3749024
2021-08-23,77.45,78.0,73.6,73.6,3332697
2021-08-24,72.0,77.25,70.35,77.25,3646028
2021-08-25,81.1,81.1,79.0,81.1,1798861
2021-08-26,85.15,85.15,85.15,85.15,817482
2021-08-27,89.4,89.4,85.15,89.4,8789561
2021-08-30,91.3,93.85,90.0,93.85,5143549
2021-08-31,98.0,98.5,96.0,98.5,8076627
2021-09-01,102.0,103.4,101.05,103.4,3851699
2021-09-02,108.55,108.55,106.5,108.55,6101614
2021-09-03,113.25,113.25,103.15,103.15,11600826
2021-09-06,98.0,102.15,98.0,98.0,4785158
2021-09-07,95.3,96.0,93.1,93.1,2760591
2021-09-08,90.0,97.75,89.2,97.75,3440441
2021-09-09,100.0,102.6,95.55,102.55,6156828
2021-09-13,100.0,101.9,98.3,100.55,3776218
2021-09-14,99.0,102.0,97.85,99.2,2729725
2021-09-15,99.9,101.5,98.0,99.5,3005710
2021-09-16,100.35,100.4,98.2,98.55,1989457
2021-09-17,99.4,101.0,95.75,100.45,4712250
2021-09-20,96.05,98.55,95.45,95.45,5452646
2021-09-21,93.6,96.4,91.05,94.55,3703371
2021-09-22,95.0,97.5,94.85,95.9,2908802
2021-09-23,96.9,98.75,95.7,97.05,4723835
2021-09-24,98.0,98.4,95.5,95.85,3425363
2021-09-27,96.0,98.5,95.0,97.0,4218958
2021-09-28,97.45,97.75,95.15,96.0,3445198
2021-09-29,95.7,100.8,94.4,98.3,12121578
2021-09-30,99.25,99.4,96.9,97.1,5402480
2021-10-01,96.0,99.0,95.0,96.95,3799113
2021-10-04,97.85,101.75,97.5,101.75,16213791
2021-10-05,102.8,106.8,101.75,106.5,18388056
2021-10-06,107.3,108.9,101.2,101.55,12067633
2021-10-07,102.3,104.8,101.55,101.95,5122515
2021-10-08,102.9,103.45,101.0,101.6,4269144
2021-10-11,103.0,104.75,101.0,101.85,6211799
2021-10-12,102.9,103.4,101.2,101.65,4336792
2021-10-13,102.4,106.7,101.8,106.7,10940656
2021-10-14,108.45,112.0,107.5,112.0,11126786
2021-10-18,118.45,123.2,117.15,123.2,7932757
2021-10-19,133.45,135.5,115.1,124.85,71805365
2021-10-20,122.2,128.0,115.0,120.9,20580766
2021-10-21,122.95,126.5,120.0,123.2,10458639
2021-10-22,120.0,123.0,117.05,117.05,3651239
2021-10-25,113.75,113.75,111.2,111.2,1191842
2021-10-26,107.5,116.4,105.65,112.2,4052277
2021-10-27,112.0,113.85,107.7,108.75,2487138
2021-10-28,109.0,109.95,103.35,103.45,5060983
2021-10-29,103.45,106.8,99.0,100.5,3679241
2021-11-01,98.15,104.4,98.0,102.85,4693977
2021-11-02,104.7,105.2,102.1,104.1,3240056
2021-11-03,104.9,104.9,101.3,103.25,2976676
2021-11-04,105.2,106.5,104.75,105.4,1680073
2021-11-08,106.2,106.2,103.0,104.5,3433737
2021-11-09,104.4,109.7,104.15,109.7,8696567
2021-11-10,111.0,113.7,109.05,110.15,7831137
2021-11-11,110.8,111.6,107.35,108.1,3830677
2021-11-12,109.2,110.7,107.0,108.45,5006556
2021-11-15,110.25,110.25,104.75,107.15,3084563
2021-11-16,107.6,109.8,106.25,106.75,2919587
2021-11-17,106.5,107.7,104.0,104.3,4122988
2021-11-18,105.0,105.8,101.4,102.9,3970297
2021-11-22,102.9,103.25,98.8,100.95,3723327
2021-11-23,100.6,105.95,98.65,105.95,3987471
2021-11-24,107.0,109.7,105.4,105.9,6009879
2021-11-25,106.45,107.0,103.6,105.05,3974953
2021-11-26,104.05,104.3,101.0,101.25,4336484
2021-11-29,100.0,101.0,93.6,98.4,4625241
2021-11-30,100.5,103.2,99.0,99.35,3469788
2021-12-01,102.0,102.0,99.7,101.25,2428583
2021-12-02,100.8,102.0,100.4,101.75,2745370
2021-12-03,101.9,102.6,100.5,100.8,2919273
2021-12-06,100.8,101.0,99.0,99.5,2366475
