date,open,high,low,close,volume
2021-07-05,78.5,79.9,76.35,77.8,85678
2021-07-06,78.5,79.0,74.0,75.0,40736
2021-07-07,76.0,76.5,73.65,75.2,34710
2021-07-08,74.0,75.2,71.5,72.85,64216
2021-07-09,72.5,76.45,72.05,76.35,84751
2021-07-12,77.5,80.15,75.55,80.05,248032
2021-07-13,80.15,82.55,78.95,80.8,90444
2021-07-14,81.45,82.5,79.85,81.9,137705
2021-07-15,81.9,82.5,77.85,80.7,56780
2021-07-16,81.5,81.9,76.8,81.1,125267
2021-07-19,80.5,81.0,78.55,80.2,27981
2021-07-20,79.5,80.0,77.0,77.85,43054
2021-07-22,78.0,81.7,78.0,79.25,31890
2021-07-23,79.25,80.0,75.55,79.25,17241
2021-07-26,79.0,80.5,77.1,78.0,29847
2021-07-27,78.0,78.0,74.1,74.1,49705
2021-07-28,74.1,77.8,70.4,77.05,69425
2021-07-29,79.45,80.9,75.0,80.9,88846
2021-07-30,80.5,82.0,77.1,81.6,48702
2021-08-02,80.95,85.0,77.7,80.7,40897
2021-08-03,80.0,82.0,78.2,80.6,30768
2021-08-04,80.0,84.0,78.0,82.9,97378
2021-08-05,83.0,84.5,79.5,80.1,119140
2021-08-06,79.5,82.0,79.0,81.3,145191
2021-08-09,80.5,85.0,80.5,83.55,156899
2021-08-10,79.5,85.35,79.4,79.4,138875
2021-08-11,79.6,79.6,75.45,75.45,18606
2021-08-12,71.75,75.4,71.7,73.6,55292
2021-08-13,72.0,73.95,70.15,72.1,14914
2021-08-16,69.0,73.0,69.0,69.75,159252
2021-08-17,69.0,69.8,67.05,68.1,19547
2021-08-18,64.8,69.85,64.8,69.05,25940
2021-08-20,69.55,71.8,65.8,66.95,24610
2021-08-23,66.05,69.8,63.65,64.25,16081
2021-08-24,65.0,66.45,64.0,66.05,5859
2021-08-25,64.75,68.8,64.0,65.35,8754
2021-08-26,66.0,66.0,62.1,63.5,26227
2021-08-27,62.25,64.85,62.25,63.75,10634
2021-08-30,63.0,64.85,63.0,63.9,6889
2021-08-31,64.9,67.05,64.0,66.45,22615
2021-09-01,67.0,68.8,65.0,67.95,15789
2021-09-02,67.95,68.9,65.6,67.0,12960
2021-09-03,66.0,67.0,64.05,66.35,14282
2021-09-06,66.0,67.0,64.0,64.6,22432
2021-09-07,63.7,65.95,63.7,64.7,4489
2021-09-08,64.95,66.4,64.2,64.8,9485
2021-09-09,64.4,64.75,63.1,64.0,3361
2021-09-13,63.0,64.85,62.0,63.35,13076
2021-09-14,64.4,66.5,64.4,66.5,30538
2021-09-15,69.0,69.8,68.8,69.8,53368
2021-09-16,71.8,72.7,67.1,70.75,47044
2021-09-17,71.0,71.0,67.5,69.3,20647
2021-09-20,68.0,68.5,66.0,66.6,10769
2021-09-21,66.5,67.4,64.45,65.55,512399
2021-09-22,65.0,66.9,64.0,65.7,208971
2021-09-23,65.0,67.0,63.1,65.95,122366
2021-09-24,65.0,65.95,63.3,64.05,10379
2021-09-27,65.0,65.0,62.3,63.1,217937
2021-09-28,62.5,63.95,62.2,62.8,9350
2021-09-29,62.9,62.9,61.8,62.1,11293
2021-09-30,61.0,63.0,61.0,61.9,10515
2021-10-01,62.0,62.0,61.0,61.75,4794
2021-10-04,62.0,63.95,62.0,63.55,21661
2021-10-05,63.95,63.95,63.0,63.0,7815
2021-10-06,63.95,63.95,62.0,62.25,10404
2021-10-07,61.5,64.8,61.5,64.25,43482
2021-10-08,65.95,65.95,63.75,64.35,11000
2021-10-11,64.25,67.0,63.5,66.35,43938
2021-10-12,66.0,67.0,64.55,66.5,142692
2021-10-13,66.5,67.7,64.5,65.0,22157
2021-10-14,66.0,66.0,64.0,64.25,14514
2021-10-18,65.0,65.9,63.05,63.95,31028
2021-10-19,63.7,64.95,62.0,62.8,17795
2021-10-20,62.0,63.9,61.0,62.35,13538
2021-10-21,63.0,63.7,61.5,62.4,6559
2021-10-22,63.0,63.0,60.0,60.95,12364
2021-10-25,60.0,60.95,57.95,58.05,18792
2021-10-26,58.05,59.1,56.6,58.35,11824
2021-10-27,58.9,60.0,58.45,59.45,10192
2021-10-28,59.0,60.0,57.0,57.65,10924
2021-10-29,57.0,58.15,55.55,57.75,8021
2021-11-01,57.0,58.9,56.0,57.05,10571
2021-11-02,58.0,58.4,57.0,57.95,4056
2021-11-03,58.0,58.15,57.0,57.7,4516
2021-11-04,59.0,59.0,56.05,57.25,8245
2021-11-08,58.0,58.0,56.0,56.35,13567
2021-11-09,56.05,59.15,56.05,59.15,28546
2021-11-10,61.5,62.1,58.1,59.85,68078
2021-11-11,60.0,62.0,59.4,61.7,30168
2021-11-12,62.0,62.8,59.25,59.7,77764
2021-11-15,59.8,60.95,57.15,59.45,18938
2021-11-16,59.0,60.0,58.2,58.85,14703
2021-11-17,57.6,59.95,57.6,58.95,10835
2021-11-18,59.0,59.35,57.5,58.85,37630
2021-11-22,59.0,59.0,56.0,56.5,14324
2021-11-23,57.0,57.7,55.65,56.75,16412
2021-11-24,56.0,57.0,55.35,56.85,8974
2021-11-25,57.0,59.15,55.6,58.75,16607
2021-11-26,59.0,59.45,57.85,57.9,13104
2021-11-29,57.0,57.0,55.05,55.05,17909
2021-11-30,55.05,55.3,53.55,54.25,12619
2021-12-01,54.35,55.2,52.1,53.65,7661
2021-12-02,54.0,56.3,53.05,56.3,12748
2021-12-03,57.0,58.8,55.5,56.5,20931
2021-12-06,57.0,58.25,56.55,57.3,9277
2021-12-07,57.95,58.75,54.85,55.35,25686
2021-12-08,55.95,58.1,55.55,56.1,9281
2021-12-09,56.5,57.45,55.0,56.55,17432
2021-12-10,56.7,56.9,54.55,55.2,18975
2021-12-13,55.2,56.75,55.0,55.25,11181
2021-12-14,55.2,56.5,55.2,55.5,8423
2021-12-15,56.5,57.05,54.4,54.85,14269
2021-12-16,55.95,55.95,53.6,54.85,19456
2021-12-17,54.95,55.7,53.85,54.9,13967
2021-12-20,55.8,55.8,49.45,51.9,29799
2021-12-21,51.45,54.95,51.45,54.85,15504
2021-12-22,54.95,56.2,52.2,54.15,29247
2021-12-23,54.55,54.9,53.45,54.8,7091
2021-12-24,55.8,55.8,53.9,54.3,8515
2021-12-27,54.3,55.0,53.05,53.3,13504
2021-12-28,53.1,54.9,53.1,53.4,14237
2021-12-29,53.9,58.7,53.3,58.15,57177
2021-12-30,59.95,63.95,59.95,61.45,210494
2021-12-31,61.95,62.65,57.5,58.55,96292
2022-01-03,59.9,64.4,58.6,64.4,81492
2022-01-04,66.85,68.95,63.25,67.95,445569
2022-01-05,68.1,71.3,66.0,69.55,147751
2022-01-06,69.0,70.65,67.5,68.4,58526
2022-01-07,68.95,71.15,65.75,66.15,63602
2022-01-10,66.95,69.45,66.95,69.45,86146
2022-01-11,72.35,72.35,66.8,68.2,69318
2022-01-12,69.2,69.5,66.45,69.05,74928
2022-01-13,69.0,72.2,67.2,71.15,121664
2022-01-14,71.05,74.7,69.6,74.7,216619
2022-01-17,78.25,78.4,77.0,78.4,88168
2022-01-18,81.8,82.3,78.75,80.1,504059
2022-01-19,81.7,82.6,78.95,80.85,87158
2022-01-20,81.0,82.45,78.55,79.1,43153
2022-01-21,79.9,80.35,75.95,76.55,69792
2022-01-24,76.7,76.7,72.75,72.75,32545
2022-01-25,69.25,76.35,69.15,75.1,99615
2022-01-27,75.1,78.4,73.0,74.65,64599
2022-01-28,74.25,77.5,73.7,74.65,30162
2022-01-31,74.65,77.8,74.5,75.75,104655
2022-02-01,76.4,78.8,75.0,77.05,62302
2022-02-02,77.05,80.6,75.1,79.8,75171
2022-02-03,79.5,83.4,77.2,81.05,114381
2022-02-04,82.7,85.1,80.1,83.0,1299321
2022-02-07,85.8,87.0,80.3,80.8,143835
2022-02-08,82.9,83.4,77.25,78.1,98488
2022-02-09,78.0,79.9,76.6,77.35,36795
2022-02-10,77.0,81.2,76.1,81.1,59994
2022-02-11,82.3,82.35,77.35,78.45,55602
2022-02-14,78.05,78.4,74.55,74.55,42877
2022-02-15,70.9,75.9,70.9,74.15,55245
2022-02-16,74.85,77.85,73.3,77.85,35452
2022-02-17,81.7,81.7,77.0,78.1,63666
2022-02-18,78.9,79.5,76.5,76.95,34437
2022-02-21,76.1,76.1,73.15,73.2,24754
2022-02-22,71.95,72.95,69.55,69.75,63406
2022-02-23,66.7,72.0,66.7,70.1,55182
2022-02-24,66.7,67.65,66.6,66.6,16346
2022-02-25,66.9,67.7,63.3,64.25,79722
2022-02-28,63.25,66.35,63.25,65.7,38859
2022-03-02,65.7,66.9,63.3,63.85,29533
2022-03-03,63.85,65.5,63.85,64.95,9904
2022-03-04,64.95,68.15,62.05,66.9,73728
2022-03-07,68.0,68.0,64.25,64.95,79779
2022-03-08,65.9,68.15,65.55,68.15,27918
2022-03-09,70.9,71.55,69.55,70.25,53145
2022-03-10,73.75,73.75,68.1,69.65,48434
2022-03-11,69.1,70.9,67.55,68.9,64288
2022-03-14,68.1,71.1,67.95,69.85,29169
2022-03-15,69.1,70.85,67.1,67.45,10224
2022-03-16,67.9,70.8,67.5,70.8,30363
2022-03-17,73.7,73.7,67.65,68.45,91290
2022-03-21,68.9,70.5,66.6,67.45,114323
2022-03-22,67.9,68.65,66.1,67.65,95026
2022-03-23,67.9,68.95,65.1,66.05,67364
2022-03-24,66.9,66.9,64.55,64.75,94199
2022-03-25,64.75,66.8,62.4,65.2,85864
2022-03-28,65.2,65.2,62.25,62.85,57530
2022-03-29,62.9,65.95,62.55,65.95,75390
2022-03-30,65.95,69.2,65.95,68.55,99259
2022-03-31,69.0,71.95,67.55,68.25,83143
2022-04-01,68.9,70.35,68.1,68.4,15144
2022-04-04,68.9,70.45,68.05,68.45,18021
2022-04-05,68.3,70.85,68.3,70.3,27573
2022-04-06,70.95,72.6,69.75,72.3,39964
2022-04-07,72.9,78.4,72.65,76.1,108797
2022-04-08,77.9,81.75,75.2,76.5,335484
2022-04-11,76.1,81.0,74.65,79.2,128932
2022-04-12,78.1,80.8,76.05,80.0,48730
2022-04-13,79.1,81.0,75.35,79.3,60710
2022-04-18,78.1,86.9,76.55,84.15,226352
2022-04-19,87.0,92.55,80.35,84.2,733441
2022-04-20,87.0,91.45,77.2,86.35,201386
2022-04-21,89.4,91.35,84.5,85.45,94121
2022-04-22,85.9,87.0,83.45,86.0,52269
2022-04-25,86.9,86.9,80.2,81.5,72072
2022-04-26,82.5,83.6,80.1,80.6,31921
2022-04-27,80.85,81.85,78.0,79.55,42999
2022-04-28,76.05,83.25,76.05,80.85,49691
2022-04-29,81.9,81.9,76.25,76.85,38561
2022-05-02,77.85,77.85,72.65,74.3,58764
2022-05-04,74.1,75.0,67.5,70.1,69684
2022-05-05,68.6,74.2,68.6,71.8,31936
2022-05-06,73.4,73.4,68.0,69.25,63670
2022-05-09,69.9,69.9,65.0,65.4,65581
2022-05-10,65.4,68.45,61.15,62.2,76704
2022-05-11,62.9,63.55,59.3,61.9,61677
2022-05-12,61.9,61.9,55.75,57.4,67197
2022-05-13,57.9,60.25,57.9,59.0,32184
2022-05-16,59.0,61.95,57.6,61.95,25267
2022-05-17,63.9,65.0,63.3,65.0,21785
2022-05-18,66.9,68.25,66.35,68.25,42825
2022-05-19,67.1,68.75,64.85,64.9,33244
2022-05-20,67.2,68.0,64.2,67.35,49390
2022-05-23,67.5,69.5,65.15,65.5,26885
2022-05-24,64.5,65.95,63.6,64.15,19198
2022-05-25,64.4,64.4,61.45,62.1,18975
2022-05-26,61.1,62.7,59.6,61.45,12341
2022-05-27,61.9,64.0,60.2,62.05,12035
2022-05-30,62.35,63.7,60.45,61.65,24037
2022-05-31,61.85,63.4,61.85,62.45,15428
2022-06-01,62.2,63.75,61.2,62.5,10792
2022-06-02,63.8,63.8,62.15,63.35,14080
2022-06-03,63.5,65.7,61.55,62.25,14395
2022-06-06,62.0,64.4,61.5,63.7,50200
2022-06-07,63.75,64.2,61.8,63.25,29994
2022-06-08,64.9,64.9,61.7,62.1,35836
2022-06-09,61.45,68.3,61.45,66.25,132419
2022-06-10,66.2,69.2,64.05,66.35,80553
2022-06-13,66.0,68.3,64.4,64.5,98289
2022-06-14,64.9,65.25,61.5,62.05,84499
2022-06-15,62.3,64.1,62.0,63.95,86005
2022-06-16,64.7,64.7,57.6,58.4,69978
2022-06-17,57.4,58.55,55.2,56.0,64786
2022-06-20,56.9,61.6,52.2,54.65,175746
2022-06-21,54.75,58.85,53.45,56.8,66083
2022-06-22,55.4,61.4,55.3,57.85,20144
2022-06-23,57.9,59.45,57.0,58.25,15323
2022-06-24,58.9,62.2,58.6,61.4,11368
2022-06-27,61.5,63.15,59.6,60.15,61888
2022-06-28,60.7,60.7,58.4,59.45,57137
2022-06-29,59.1,59.85,57.65,58.6,36895
2022-06-30,58.8,59.85,58.0,58.8,16816
2022-07-01,58.9,58.9,56.5,57.75,16157
2022-07-04,57.1,60.0,56.0,59.2,13637
2022-07-05,59.9,61.2,58.15,58.9,19018
2022-07-06,58.85,60.9,57.6,58.6,12282
2022-07-07,58.9,59.9,58.5,58.95,6138
2022-07-08,59.85,63.0,58.15,62.3,29146
2022-07-11,62.9,64.35,62.35,62.75,12811
2022-07-12,62.9,64.5,62.1,62.9,23314
2022-07-13,63.9,68.2,62.35,66.35,63858
2022-07-14,66.35,66.75,64.2,65.7,22785
2022-07-15,65.35,66.2,64.0,65.65,13514
2022-07-18,65.9,67.0,65.35,66.4,12983
2022-07-19,66.1,66.7,65.35,65.8,12136
2022-07-20,65.9,67.0,64.0,64.55,20081
2022-07-21,64.55,65.4,63.75,64.05,41644
2022-07-22,64.05,65.7,63.05,63.9,20533
2022-07-25,63.1,65.95,63.1,64.25,23554
2022-07-26,64.35,64.35,63.1,63.9,7115
2022-07-27,63.3,64.95,61.9,62.6,32169
2022-07-28,62.9,64.9,62.9,63.55,26534
2022-07-29,64.9,64.9,62.15,62.85,24812
2022-08-01,62.9,67.5,62.2,66.7,55214
2022-08-02,68.7,73.35,67.2,73.35,205314
2022-08-03,76.0,79.0,72.65,74.35,424451
2022-08-04,74.35,75.0,71.0,71.65,115195
2022-08-05,71.65,77.4,71.3,75.1,179202
2022-08-08,75.5,90.1,75.1,89.75,1954773
2022-08-10,91.0,94.95,84.55,85.2,594575
2022-08-11,87.0,87.0,82.1,82.6,139024
2022-08-12,82.6,93.95,82.25,88.1,802610
2022-08-16,90.0,105.4,89.0,102.05,1236525
2022-08-17,102.5,111.6,99.35,104.35,772628
2022-08-18,105.2,119.5,103.5,117.3,1053974
2022-08-19,119.0,119.75,110.35,111.75,549957
2022-08-22,111.75,114.0,107.2,107.95,248166
2022-08-23,104.15,111.35,104.15,109.95,200778
2022-08-24,110.95,112.25,108.4,109.7,122694
2022-08-25,111.35,114.65,107.05,107.45,277776
2022-08-26,108.0,109.8,104.4,105.5,131993
2022-08-29,100.5,106.75,100.5,105.8,127864
2022-08-30,106.5,109.95,105.05,106.45,133379
2022-09-01,105.1,108.3,103.1,104.35,112065
2022-09-02,104.9,110.0,98.0,99.65,1022228
2022-09-05,103.0,116.8,101.0,113.85,1125137
2022-09-06,115.8,120.25,113.1,114.2,2170827
2022-09-07,117.2,134.3,115.9,132.7,1764941
2022-09-08,133.4,136.9,126.85,134.4,1134843
2022-09-09,132.0,137.95,127.0,131.45,623157
2022-09-12,132.4,132.5,127.15,128.2,182723
2022-09-13,128.9,128.95,123.0,123.9,293838
2022-09-14,120.65,126.7,119.1,123.1,287665
2022-09-15,124.0,124.65,118.05,120.0,216673
2022-09-16,120.85,122.55,113.25,115.6,308343
2022-09-19,116.8,121.95,110.1,120.45,339350
2022-09-20,121.8,121.8,114.2,115.7,336892
2022-09-21,116.8,119.4,111.3,112.25,345515
2022-09-22,113.7,123.9,109.0,121.85,848121
2022-09-23,121.85,125.0,115.6,117.2,468268
2022-09-26,118.0,123.0,113.0,114.7,449565
2022-09-27,115.9,115.9,106.25,108.6,507225
2022-09-28,108.4,109.75,104.85,106.75,271055
2022-09-29,108.1,109.8,105.2,107.8,185443
2022-09-30,107.05,111.7,106.0,109.2,199679
2022-10-03,111.6,113.0,107.6,108.75,172603
2022-10-04,110.9,112.5,108.0,110.95,186330
2022-10-06,113.3,117.9,110.9,116.75,423297
2022-10-07,116.75,122.55,115.75,120.35,613959
2022-10-10,120.35,120.75,116.4,118.4,151160
2022-10-11,118.4,120.1,114.0,115.25,143878
2022-10-12,115.25,116.3,110.35,113.8,137212
2022-10-13,114.45,116.9,113.1,114.55,77731
2022-10-14,117.15,123.0,114.7,119.45,491979
2022-10-17,120.9,121.7,116.2,118.8,197516
2022-10-18,120.05,126.8,120.0,126.0,1112477
2022-10-19,126.35,130.7,124.0,127.6,650835
2022-10-20,127.6,128.75,124.1,125.7,182467
2022-10-21,132.0,132.35,118.9,122.2,1212713
2022-10-24,124.4,127.05,122.75,124.8,83043
2022-10-25,125.7,125.7,120.3,122.15,133999
2022-10-27,122.15,124.9,122.0,122.7,109895
2022-10-28,122.9,122.9,118.0,119.55,128530
2022-10-31,119.6,121.5,118.0,118.45,75719
2022-11-01,118.0,120.7,115.05,116.6,111455
2022-11-02,117.5,121.4,116.25,118.5,86736
2022-11-03,118.1,118.45,113.85,114.25,86536
2022-11-04,115.9,116.5,113.1,113.9,67884
2022-11-07,114.9,123.1,114.2,122.0,304181
2022-11-09,122.0,127.8,117.8,119.5,177473
2022-11-10,119.0,121.1,113.7,115.85,186500
2022-11-11,116.1,119.3,116.1,116.75,62950
2022-11-14,116.75,116.75,114.0,114.65,76662
2022-11-15,114.25,115.35,111.3,112.1,96159
2022-11-16,113.9,123.9,112.7,121.55,653808
2022-11-17,123.9,126.5,120.0,120.9,360517
2022-11-18,121.4,122.5,115.1,117.95,144921
2022-11-21,117.1,117.2,115.2,115.5,83689
2022-11-22,115.9,116.95,114.0,115.5,69735
2022-11-23,115.6,116.05,112.5,112.85,140823
2022-11-24,116.2,116.2,113.15,113.6,99648
2022-11-25,113.85,120.7,112.8,119.45,242136
2022-11-28,119.8,120.05,115.1,115.4,232834
2022-11-29,115.45,116.3,112.35,112.85,161325
2022-11-30,113.55,114.45,111.5,113.0,93161
2022-12-01,113.8,117.2,111.85,116.2,447523
2022-12-02,115.4,119.0,114.1,115.05,364703
2022-12-05,115.65,115.65,111.5,113.15,151309
2022-12-06,113.5,114.5,112.5,113.4,80799
2022-12-07,114.4,114.4,110.6,111.95,212349
2022-12-08,112.4,115.05,111.1,113.35,121800
2022-12-09,113.85,114.0,108.25,109.75,178817
2022-12-12,109.6,113.35,107.1,111.75,145634
2022-12-13,112.0,112.75,108.05,110.4,141851
2022-12-14,110.4,111.1,108.1,109.6,82660
2022-12-15,109.45,110.5,107.15,107.85,74125
2022-12-16,107.85,112.25,105.7,106.15,198709
2022-12-19,106.8,109.8,105.35,105.95,110372
2022-12-20,105.95,110.05,104.0,108.8,173393
2022-12-21,108.8,109.6,97.3,100.4,239098
2022-12-22,102.95,102.95,94.55,96.6,145820
2022-12-23,95.9,95.9,87.3,89.05,305309
2022-12-26,91.0,99.9,90.95,98.65,219870
2022-12-27,99.9,109.75,97.05,106.2,481321
2022-12-28,106.35,106.35,102.6,105.6,351974
2022-12-29,105.4,105.4,101.55,102.3,113060
2022-12-30,102.65,108.95,102.65,104.6,182998
2023-01-02,103.3,107.85,103.3,104.55,122433
2023-01-03,104.9,109.0,103.05,107.15,133549
2023-01-04,107.4,107.4,103.0,104.5,93128
2023-01-05,104.1,105.3,102.65,104.3,81947
2023-01-06,104.3,105.95,102.0,102.55,58369
2023-01-09,102.0,107.25,102.0,104.55,92035
2023-01-10,104.0,104.75,102.0,103.15,62869
2023-01-11,104.1,105.5,102.0,104.35,94413
2023-01-12,104.1,105.45,101.0,101.9,105904
2023-01-13,101.1,104.55,99.6,103.45,201337
2023-01-16,104.0,105.8,102.2,103.05,98985
2023-01-17,103.85,106.0,101.1,103.95,71538
2023-01-18,103.6,104.25,101.2,101.7,113901
2023-01-19,102.6,113.0,101.9,107.95,1028222
2023-01-20,108.95,116.15,108.55,115.2,1395396
2023-01-23,117.0,117.9,112.05,114.8,359713
2023-01-24,115.8,118.7,110.65,113.75,1249305
2023-01-25,114.7,116.6,112.5,114.4,558381
2023-01-27,115.75,115.75,106.1,110.95,267191
2023-01-30,110.1,112.65,107.8,108.95,194727
2023-01-31,109.45,111.5,106.5,109.9,137079
2023-02-01,109.0,110.95,101.4,104.0,288514
2023-02-02,104.0,108.0,102.45,104.65,107550
2023-02-03,104.65,107.55,99.2,103.4,152653
2023-02-06,104.95,104.95,102.0,103.0,66501
2023-02-07,103.2,109.65,103.0,107.8,171843
2023-02-08,108.85,109.05,105.15,106.1,75042
2023-02-09,106.15,107.75,104.6,105.0,78435
2023-02-10,105.0,107.45,104.4,104.85,84797
2023-02-13,104.0,105.9,102.5,103.25,108277
2023-02-14,103.25,105.15,102.75,103.05,46092
2023-02-15,103.05,104.0,101.5,101.95,102003
2023-02-16,101.95,104.2,101.5,101.8,78737
2023-02-17,100.8,102.6,99.7,100.55,61763
2023-02-20,100.9,101.7,93.8,95.65,333263
2023-02-21,98.8,98.8,95.2,97.2,65399
2023-02-22,98.7,98.7,92.75,94.8,81789
2023-02-23,94.9,95.7,92.4,94.6,106418
2023-02-24,95.55,97.65,94.2,94.65,144994
2023-02-27,95.85,95.85,89.75,92.35,261219
2023-02-28,92.1,96.85,87.3,94.6,425645
2023-03-01,94.85,105.9,93.15,104.55,677413
2023-03-02,105.0,108.35,100.1,106.1,462056
2023-03-03,107.0,107.7,102.65,103.9,285883
2023-03-06,104.35,108.6,104.0,106.8,224119
2023-03-08,106.1,109.7,104.1,108.2,149121
2023-03-09,109.8,115.0,108.35,112.2,459564
2023-03-10,111.1,115.05,110.0,112.95,378045
2023-03-13,114.45,114.45,106.95,107.85,179120
2023-03-14,107.1,110.35,106.5,108.4,111673
2023-03-15,108.9,112.2,108.05,108.8,108469
2023-03-16,108.8,111.4,106.55,109.2,126071
2023-03-17,110.0,115.35,106.05,109.85,280483
2023-03-20,109.6,113.5,106.8,109.4,259323
2023-03-21,109.95,123.3,109.95,121.55,3595386
2023-03-22,122.0,126.0,121.5,124.55,1148932
2023-03-23,125.4,127.9,121.0,121.95,965241
2023-03-24,121.8,135.3,119.65,129.6,3878654
2023-03-27,128.0,143.9,127.7,141.9,5386254
2023-03-28,141.5,149.25,132.1,136.85,3857946
2023-03-29,137.5,146.5,136.55,143.7,857804
2023-03-31,146.0,157.0,140.1,155.2,1957673
2023-04-03,156.0,160.0,151.35,157.6,850717
2023-04-05,157.1,159.85,150.1,152.5,524036
2023-04-06,152.5,156.5,141.7,148.1,665657
2023-04-10,151.05,151.9,145.6,147.4,286900
2023-04-11,146.35,158.0,146.35,153.35,817357
2023-04-12,154.5,155.75,148.15,150.25,317953
2023-04-13,150.9,154.0,147.35,149.0,261236
2023-04-17,149.45,155.3,147.8,150.5,718319
2023-04-18,153.0,162.45,151.6,159.35,2259559
2023-04-19,160.3,164.5,156.1,163.65,1553701
2023-04-20,163.85,164.45,156.5,157.0,645333
2023-04-21,157.45,158.15,148.15,149.8,774541
2023-04-24,151.4,164.0,150.0,160.5,1693936
2023-04-25,161.55,169.9,150.65,163.2,5236837
2023-04-26,166.7,168.65,161.1,162.6,1035523
2023-04-27,163.4,174.4,163.4,166.55,2025407
2023-04-28,168.2,170.15,163.7,164.85,545265
2023-05-02,167.0,175.0,166.0,173.55,1228187
2023-05-03,174.2,177.8,170.0,171.3,953143
2023-05-04,171.35,174.0,164.4,169.6,986252
2023-05-05,170.3,171.35,165.1,165.85,353657
2023-05-08,167.15,171.7,167.0,168.65,381032
2023-05-09,169.45,169.85,158.45,159.95,515075
2023-05-10,161.2,168.1,157.8,161.95,980000
2023-05-11,162.85,165.0,160.1,160.9,296253
2023-05-12,162.2,162.2,154.8,156.25,381352
2023-05-15,156.25,163.95,153.1,159.75,732597
2023-05-16,159.85,163.85,157.65,159.0,405851
2023-05-17,159.9,161.9,154.05,156.9,350153
2023-05-18,158.8,161.05,156.05,158.8,343931
2023-05-19,159.4,159.9,155.35,157.45,248095
2023-05-22,157.9,157.9,152.5,155.25,316284
2023-05-23,155.0,161.8,154.25,159.45,370566
2023-05-24,159.45,169.0,159.05,165.15,925102
2023-05-25,166.4,166.6,159.3,162.95,463002
2023-05-26,162.95,164.95,159.15,160.3,317329
2023-05-29,162.0,166.2,158.0,164.75,475061
2023-05-30,165.75,182.0,165.0,180.6,2356501
2023-05-31,183.0,188.35,180.1,184.5,1658823
2023-06-01,185.15,189.0,182.7,184.15,765530
2023-06-02,185.25,192.75,183.8,184.7,1047217
2023-06-05,185.7,188.85,176.3,180.8,550935
2023-06-06,181.15,187.9,181.1,183.85,441385
2023-06-07,185.05,185.7,181.25,182.15,273155
2023-06-08,182.9,188.5,175.55,176.65,754822
2023-06-09,178.3,180.4,175.2,176.35,236358
2023-06-12,177.0,184.9,176.0,183.45,461786
2023-06-13,184.9,187.9,180.45,186.6,611810
2023-06-14,186.6,187.5,181.25,182.7,328961
2023-06-15,183.1,184.0,176.1,177.9,357411
2023-06-16,180.3,183.8,177.7,179.4,344796
2023-06-19,180.0,182.65,172.3,173.2,540415
2023-06-20,173.2,182.85,173.0,181.45,810420
2023-06-21,182.0,183.5,178.5,179.1,215773
2023-06-22,180.0,180.0,172.5,174.5,301891
2023-06-23,176.0,177.0,170.55,174.75,308516
2023-06-26,173.05,177.95,173.0,175.55,196152
2023-06-27,176.65,180.85,175.55,178.15,311679
2023-06-28,179.1,186.7,171.05,173.95,1394669
2023-06-30,174.8,177.45,173.3,175.55,376258
2023-07-03,175.5,177.25,172.5,172.9,282000
2023-07-04,174.35,176.2,170.75,171.4,326693
2023-07-05,172.0,176.0,172.0,173.2,321737
2023-07-06,173.15,178.7,172.85,175.25,523399
2023-07-07,175.5,185.9,172.65,184.5,1087856
2023-07-10,185.8,199.45,185.15,191.75,2357566
2023-07-11,193.65,193.65,187.0,189.15,555546
2023-07-12,190.4,196.95,188.35,195.6,942243
2023-07-13,197.6,199.9,190.1,192.6,551685
2023-07-14,192.9,205.9,191.05,202.0,1479011
2023-07-17,204.0,205.3,198.6,201.6,541493
2023-07-18,202.95,203.0,194.0,198.45,444423
2023-07-19,198.95,204.7,197.05,198.7,537967
2023-07-20,199.5,200.9,191.55,192.85,438664
2023-07-21,192.0,197.4,191.55,194.75,314829
2023-07-24,196.0,205.3,194.75,203.4,789046
2023-07-25,205.05,213.9,204.9,211.0,1274955
2023-07-26,214.35,226.45,208.25,216.95,4484446
2023-07-27,219.95,223.0,210.55,212.7,753533
2023-07-28,214.8,214.8,206.2,209.2,495559
2023-07-31,210.8,219.0,210.8,215.9,618019
2023-08-01,217.0,219.7,210.45,211.55,358096
2023-08-02,211.9,211.95,200.0,205.5,571913
2023-08-03,205.5,210.9,201.3,206.3,504207
2023-08-04,212.0,224.7,209.85,221.7,966963
2023-08-07,224.0,228.0,220.0,224.8,779635
2023-08-08,226.0,226.0,213.35,215.7,446405
2023-08-09,217.0,224.0,214.0,221.4,364865
2023-08-10,222.0,224.55,215.6,218.9,225537
2023-08-11,219.8,220.05,208.0,210.45,483913
2023-08-14,210.0,216.5,204.15,210.4,311124
2023-08-16,210.9,215.0,208.3,209.75,203952
