date,open,high,low,close,volume
2021-07-05,92.55,93.42,92.07,92.45,9413396
2021-07-06,92.79,94.33,90.29,91.3,19510194
2021-07-07,90.91,92.41,90.14,91.01,12318030
2021-07-08,90.96,91.78,90.05,90.24,12805605
2021-07-09,90.24,90.43,89.13,89.23,10268651
2021-07-12,90.09,90.53,88.79,88.99,14658186
2021-07-13,89.85,91.97,89.47,90.29,21299175
2021-07-14,89.76,91.01,89.27,89.66,9304242
2021-07-15,90.33,90.33,87.15,87.44,19727858
2021-07-16,87.83,87.97,86.58,87.73,16989651
2021-07-19,87.73,89.76,87.06,87.44,19776231
2021-07-20,87.44,87.83,85.13,86.14,13439010
2021-07-22,87.59,87.97,85.71,87.06,17509659
2021-07-23,87.2,87.83,85.9,86.19,11050608
2021-07-26,85.9,86.0,84.46,85.52,13892751
2021-07-27,85.81,85.9,83.69,84.02,13121918
2021-07-28,84.55,84.55,82.43,83.25,13732599
2021-07-29,83.93,84.36,82.67,83.01,10445511
2021-07-30,83.35,85.81,82.87,84.36,21627378
2021-08-02,85.23,86.77,84.22,86.48,11319531
2021-08-03,87.15,87.3,85.81,86.77,13360673
2021-08-04,87.35,88.6,85.81,86.19,14392776
2021-08-05,86.58,88.21,84.84,86.48,29264226
2021-08-06,89.13,93.61,87.78,90.24,95269251
2021-08-09,91.2,91.39,87.97,88.36,16898480
2021-08-10,88.41,89.85,87.06,87.73,22428588
2021-08-11,88.17,90.09,87.35,89.23,16947189
2021-08-12,89.61,91.68,88.84,91.49,23069729
2021-08-13,91.68,92.26,89.47,90.05,15121328
2021-08-16,90.05,90.58,89.47,90.09,7275816
2021-08-17,90.05,90.53,87.73,89.13,8829299
2021-08-18,89.27,89.66,87.88,88.21,6614774
2021-08-20,84.65,87.44,84.65,84.84,21531570
2021-08-23,86.29,87.25,84.65,85.13,11996193
2021-08-24,85.9,89.76,85.9,88.12,31872113
2021-08-25,88.89,89.47,87.2,87.78,11509722
2021-08-26,87.78,88.02,85.52,86.34,14629592
2021-08-27,86.77,87.97,85.9,86.87,18811386
2021-08-30,86.77,88.94,86.77,88.5,18467459
2021-08-31,88.46,89.56,87.06,88.6,21014754
2021-09-01,89.13,89.95,87.54,87.73,16225904
2021-09-02,88.41,89.27,87.3,87.93,13093313
2021-09-03,88.5,90.62,87.93,89.37,21378195
2021-09-06,90.43,90.82,88.79,89.08,11086869
2021-09-07,89.08,89.52,87.2,87.35,9302750
2021-09-08,87.83,88.79,87.2,87.93,12718145
2021-09-09,87.83,90.24,87.54,87.93,18027485
2021-09-13,88.46,88.7,87.49,88.41,10928922
2021-09-14,89.27,95.35,89.27,94.91,54475925
2021-09-15,94.91,97.32,94.48,95.63,29863694
2021-09-16,95.54,96.31,94.91,95.63,17459850
2021-09-17,95.44,97.08,93.13,93.71,28818695
2021-09-20,92.36,94.0,90.14,90.91,8997674
2021-09-21,90.91,92.36,87.83,91.06,12995049
2021-09-22,91.64,92.45,90.67,91.06,17163750
2021-09-23,92.36,94.67,91.78,92.94,22708316
2021-09-24,93.61,94.14,90.14,92.74,23447480
2021-09-27,94.29,95.54,92.36,93.95,31471289
2021-09-28,93.8,98.38,93.03,97.18,49434681
2021-09-29,96.16,98.43,93.8,95.1,32460356
2021-09-30,96.79,97.37,94.33,96.74,31218057
2021-10-01,97.61,101.46,95.92,99.49,68705115
2021-10-04,100.31,100.55,98.14,98.48,13440395
2021-10-05,98.52,102.86,98.48,100.5,37808565
2021-10-06,100.69,104.74,100.07,101.61,54857979
2021-10-07,102.67,102.96,96.79,97.27,28643079
2021-10-08,98.33,99.34,95.97,96.31,17590875
2021-10-11,96.79,97.95,96.5,96.69,9531362
2021-10-12,96.79,97.18,95.59,96.16,18012068
2021-10-13,96.4,98.14,96.26,96.84,14951840
2021-10-14,97.46,99.87,97.18,97.51,23311758
2021-10-18,98.14,99.92,98.04,98.33,25302591
2021-10-19,98.62,99.15,94.19,94.77,11178494
2021-10-20,94.29,94.38,91.2,92.07,12791211
2021-10-21,93.03,94.19,90.14,90.86,25111640
2021-10-22,92.65,93.56,90.24,91.39,13604868
2021-10-25,92.07,92.26,88.55,89.95,10413771
2021-10-26,90.33,92.65,90.33,92.36,11325540
2021-10-27,92.45,93.27,90.62,90.91,17954121
2021-10-28,91.39,91.68,88.6,89.42,14810112
2021-10-29,88.89,95.06,88.17,90.33,42520734
2021-11-01,92.65,94.14,90.43,91.2,24821903
2021-11-02,91.49,94.09,91.3,91.68,22232334
2021-11-03,92.26,93.95,91.06,91.39,23762697
2021-11-04,91.88,92.36,91.68,92.02,1334936
2021-11-08,92.65,93.08,91.44,92.26,27469463
2021-11-09,92.36,92.79,91.2,91.49,16457853
2021-11-10,91.49,93.03,90.82,92.41,28379138
2021-11-11,92.36,92.79,90.43,90.72,16867800
2021-11-12,91.15,91.3,89.47,89.76,10517027
