date,open,high,low,close,volume
2021-07-05,57.95,57.95,57.3,57.55,9305579
2021-07-06,57.45,57.95,57.15,57.25,9301320
2021-07-07,56.75,57.25,56.45,56.95,11177004
2021-07-08,56.95,57.75,56.55,56.7,14297864
2021-07-09,56.7,56.75,56.05,56.55,10924398
2021-07-12,56.55,57.2,56.25,56.45,9438729
2021-07-13,56.55,57.05,56.25,56.85,11227437
2021-07-14,56.7,57.1,56.1,56.4,9119790
2021-07-15,56.35,56.5,55.75,55.85,11451740
2021-07-16,55.7,56.6,55.3,55.75,11793582
2021-07-19,55.5,56.95,55.05,55.65,17532863
2021-07-20,55.75,56.2,54.7,55.4,19243817
2021-07-22,56.0,56.35,55.15,56.15,16258848
2021-07-23,56.15,56.45,55.3,55.65,10996716
2021-07-26,55.65,55.85,54.65,54.75,10937573
2021-07-27,54.85,55.25,53.85,54.3,11591373
2021-07-28,54.35,54.85,53.75,54.35,13733837
2021-07-29,54.5,54.65,53.8,54.25,15139800
2021-07-30,54.5,55.85,53.6,53.75,39367890
2021-08-02,54.65,55.55,54.1,55.35,19968908
2021-08-03,55.65,56.0,55.2,55.75,15159726
2021-08-04,56.0,56.65,54.95,55.2,17376740
2021-08-05,54.65,54.85,53.35,54.3,20246399
2021-08-06,54.3,55.85,54.2,55.6,13803815
2021-08-09,55.8,55.95,54.3,54.6,12460223
2021-08-10,54.95,54.95,52.95,53.15,12318605
2021-08-11,53.55,54.95,53.2,54.75,16287054
2021-08-12,54.75,55.35,54.15,54.4,13442645
2021-08-13,54.35,55.0,54.15,54.75,10050326
2021-08-16,54.85,56.65,54.55,56.45,32819129
2021-08-17,56.55,57.15,54.8,55.45,25693791
2021-08-18,55.95,56.0,54.8,55.8,18888795
2021-08-20,55.3,55.35,53.65,54.0,15736259
2021-08-23,54.95,54.95,53.15,53.65,10432124
2021-08-24,54.25,55.8,54.1,55.6,17847588
2021-08-25,56.0,56.3,55.25,55.75,11312487
2021-08-26,55.6,55.7,54.8,55.4,11929700
2021-08-27,55.5,55.95,55.2,55.65,8356208
2021-08-30,55.95,57.15,55.75,56.55,19240269
2021-08-31,57.0,59.2,56.6,58.9,33485408
2021-09-01,59.0,59.45,58.05,58.85,17700179
2021-09-02,58.2,58.55,57.65,58.45,17265599
2021-09-03,58.8,60.65,58.4,60.4,22906791
2021-09-06,60.85,60.85,59.15,59.4,11302937
2021-09-07,59.4,59.95,58.8,59.55,11374724
2021-09-08,59.05,60.25,59.05,60.05,12497222
2021-09-09,60.1,61.45,59.95,60.2,19983878
2021-09-13,60.2,61.15,60.0,61.0,13133424
2021-09-14,61.0,62.25,61.0,61.85,13852611
2021-09-15,61.95,62.9,61.8,62.6,19025859
2021-09-16,62.8,64.35,62.45,63.9,21129102
2021-09-17,64.15,64.65,62.4,63.85,52041975
2021-09-20,62.65,63.45,61.25,61.4,13756386
2021-09-21,61.35,62.1,60.55,61.65,14070891
2021-09-22,61.7,62.85,61.7,62.65,11751878
2021-09-23,63.0,64.1,62.85,63.65,13392398
2021-09-24,63.65,64.3,62.35,63.15,11883869
2021-09-27,63.75,64.25,63.35,64.1,14908830
2021-09-28,64.15,67.6,64.15,66.95,30580265
2021-09-29,66.5,70.35,66.35,69.95,29772804
2021-09-30,69.95,70.65,67.9,68.55,17995565
2021-10-01,68.75,70.9,68.35,69.95,20085251
2021-10-04,70.2,70.55,68.65,69.15,11345267
2021-10-05,69.15,72.05,69.15,71.6,30310881
2021-10-06,72.25,74.95,71.25,71.75,38136735
2021-10-07,72.0,73.6,71.55,73.15,19049433
2021-10-08,74.05,74.65,72.25,72.85,13639896
2021-10-11,73.1,74.3,72.45,72.7,9461720
2021-10-12,72.9,73.35,71.2,72.5,14989112
2021-10-13,72.95,73.25,71.85,72.5,13747223
2021-10-14,73.0,75.35,72.35,74.6,21061104
2021-10-18,78.35,78.35,75.45,75.9,22145724
2021-10-19,76.1,76.5,73.9,74.2,15474921
2021-10-20,73.8,74.55,71.45,72.05,16132832
2021-10-21,73.05,75.35,72.15,72.75,27519956
2021-10-22,73.35,74.1,71.65,72.15,16376906
2021-10-25,72.75,73.25,70.65,71.95,15055838
2021-10-26,72.35,73.25,71.7,72.65,15198605
2021-10-27,72.85,73.65,71.85,72.2,13412195
2021-10-28,72.2,72.6,70.15,70.75,13901231
2021-10-29,70.35,71.65,69.3,70.3,12613388
2021-11-01,73.05,73.55,69.4,72.75,26818700
2021-11-02,73.35,73.65,72.05,72.2,14533176
2021-11-03,72.2,75.0,71.95,73.35,31141038
2021-11-04,74.95,75.0,74.05,74.75,4986216
2021-11-08,75.0,78.95,74.5,78.65,37249700
2021-11-09,79.3,79.35,77.65,78.15,19382633
2021-11-10,77.95,79.2,77.45,77.95,15366905
2021-11-11,74.45,75.4,73.4,73.85,19049466
2021-11-12,74.35,74.85,73.05,73.65,14255042
2021-11-15,73.85,74.45,73.0,73.55,8808998
2021-11-16,73.95,74.0,72.1,72.35,9738893
2021-11-17,72.25,72.6,70.45,70.65,9331352
2021-11-18,70.65,71.85,70.05,71.25,10891344
2021-11-22,71.35,71.6,67.7,68.0,11624364
2021-11-23,67.65,69.55,67.5,69.1,18446718
2021-11-24,69.45,71.2,69.25,70.05,12152408
2021-11-25,70.05,70.35,68.0,68.75,9581943
2021-11-26,68.75,68.75,65.35,65.65,11587932
2021-11-29,64.7,65.65,63.55,64.2,15803561
2021-11-30,64.35,65.6,63.55,64.3,27563894
2021-12-01,64.75,64.95,62.65,63.45,19871666
2021-12-02,63.65,65.75,63.6,65.45,20686079
2021-12-03,65.65,66.9,65.5,66.45,14866089
2021-12-06,66.65,67.05,65.35,65.65,9379269
2021-12-07,66.2,67.25,65.15,65.4,14464680
2021-12-08,66.1,66.7,65.0,65.25,14700338
2021-12-09,65.65,66.0,64.65,64.8,19297434
2021-12-10,65.0,65.85,64.75,65.05,20332265
2021-12-13,65.65,65.85,63.55,63.85,20362046
2021-12-14,64.35,64.45,63.1,63.6,17422254
2021-12-15,63.45,63.95,62.0,62.15,17936939
2021-12-16,62.8,63.1,61.95,62.15,15950561
2021-12-17,62.3,62.35,59.9,60.25,17648721
2021-12-20,59.65,60.0,57.1,57.5,17713881
2021-12-21,58.0,58.55,57.45,58.0,12582459
2021-12-22,58.35,58.35,57.15,57.7,16343984
2021-12-23,58.25,59.95,58.15,59.75,15427637
2021-12-24,60.65,60.65,58.2,58.5,17403219
2021-12-27,58.45,59.0,57.7,58.85,6689945
2021-12-28,59.15,60.0,59.15,59.85,8475690
