date,open,high,low,close,volume
2021-07-05,112.95,115.1,112.7,114.65,12050022
2021-07-06,116.6,118.45,114.75,115.15,30193164
2021-07-07,113.6,114.1,111.65,113.6,18479814
2021-07-08,113.15,113.15,110.75,110.95,17151883
2021-07-09,111.0,112.45,110.5,111.7,11240925
2021-07-12,112.8,113.15,111.8,112.35,8420962
2021-07-13,112.8,114.5,112.4,114.1,8580799
2021-07-14,114.0,115.35,113.8,114.5,12709481
2021-07-15,113.0,113.15,110.1,110.8,28589465
2021-07-16,111.1,111.25,109.7,110.7,19691248
2021-07-19,108.8,110.45,108.25,108.6,14395883
2021-07-20,106.2,107.3,105.75,106.75,18634406
2021-07-22,108.45,109.75,108.0,109.45,11710140
2021-07-23,109.45,110.65,108.75,109.25,7841690
2021-07-26,108.85,109.55,108.15,108.55,8149770
2021-07-27,109.3,109.85,108.05,108.65,9704729
2021-07-28,108.9,109.15,107.5,108.4,11020097
2021-07-29,108.35,109.75,107.35,108.75,14142749
2021-07-30,108.35,110.65,107.85,109.25,12236156
2021-08-02,108.95,111.35,108.8,111.0,10895726
2021-08-03,110.05,112.0,109.1,111.7,15163353
2021-08-04,111.55,112.3,110.5,111.2,14304543
2021-08-05,110.1,111.1,108.7,110.75,11033147
2021-08-06,110.05,112.0,110.05,110.55,6606584
2021-08-09,109.95,110.9,108.35,109.0,8294214
2021-08-10,109.05,109.65,107.95,108.85,14300982
2021-08-11,109.45,111.15,108.85,110.9,11308648
2021-08-12,110.05,111.7,109.25,110.15,13519139
2021-08-13,110.7,110.85,109.3,110.05,10342014
2021-08-16,110.8,112.15,108.7,109.45,14771886
2021-08-17,109.95,109.95,106.8,107.9,16025745
2021-08-18,107.95,109.2,107.0,107.25,10074307
2021-08-20,104.9,105.9,102.85,104.45,23878081
2021-08-23,104.6,106.15,102.85,105.9,16886027
2021-08-24,107.2,109.15,106.25,107.25,17368602
2021-08-25,107.55,111.1,107.35,109.6,18637317
2021-08-26,109.55,110.15,108.45,109.5,8779246
2021-08-27,109.45,110.9,108.95,110.55,9706825
2021-08-30,110.65,114.1,110.65,113.85,15933414
2021-08-31,113.7,114.7,112.85,114.25,13376290
2021-09-01,115.4,115.85,113.15,113.4,10964080
2021-09-02,112.7,113.85,111.8,112.45,13031666
2021-09-03,113.65,117.05,112.6,116.65,21326802
2021-09-06,117.3,117.85,114.85,115.25,12505630
2021-09-07,116.1,116.35,113.3,113.65,8530847
2021-09-08,112.8,113.25,111.35,112.75,7801721
2021-09-09,112.9,117.3,112.0,115.75,27242637
2021-09-13,115.8,116.95,114.8,116.6,9921031
2021-09-14,116.85,118.85,116.4,117.45,16593684
2021-09-15,117.75,123.85,117.75,121.7,42437332
2021-09-16,122.9,124.4,120.75,121.95,22431820
2021-09-17,121.95,122.95,118.2,121.1,25968166
2021-09-20,118.5,122.65,118.5,121.75,29857432
2021-09-21,122.85,128.9,122.35,128.1,51537119
2021-09-22,127.45,128.15,125.5,126.65,16424387
2021-09-23,127.75,131.15,127.4,130.55,18688982
2021-09-24,131.6,132.6,127.45,129.0,33667173
2021-09-27,130.85,133.4,130.3,132.7,34196564
2021-09-28,134.4,136.1,133.6,134.75,46109879
2021-09-29,133.5,141.05,132.05,137.2,68003697
2021-09-30,137.2,138.4,133.95,136.95,26714630
2021-10-01,137.6,141.8,136.55,138.6,42893182
2021-10-04,140.05,140.75,139.35,139.85,16099471
2021-10-05,142.15,155.95,141.2,155.1,131238378
2021-10-06,157.35,163.75,157.15,159.3,101221817
2021-10-07,161.25,161.25,151.15,152.0,59769140
2021-10-08,155.35,157.9,152.1,152.5,30561341
2021-10-11,155.2,157.5,154.15,156.35,18143592
2021-10-12,156.45,157.2,154.2,155.0,11619888
2021-10-13,155.1,155.25,151.35,151.65,16690451
2021-10-14,152.55,153.3,150.35,150.75,14821875
2021-10-18,155.2,156.85,152.75,153.65,22899876
2021-10-19,154.95,154.95,149.75,150.3,10331930
2021-10-20,150.9,151.0,145.65,146.8,17118996
2021-10-21,149.35,151.9,146.45,146.9,31555789
2021-10-22,148.8,150.05,146.4,148.85,27317028
2021-10-25,150.7,154.4,150.6,152.95,34568006
2021-10-26,155.0,155.4,151.9,154.55,33022684
2021-10-27,154.55,155.05,148.8,149.65,21652522
2021-10-28,142.15,148.65,140.95,142.35,24815027
2021-10-29,142.05,143.9,138.35,141.25,18736450
2021-11-01,142.15,145.6,140.65,145.15,11444653
2021-11-02,145.9,146.7,143.45,144.95,20609479
2021-11-03,143.3,146.1,141.95,144.05,11591857
2021-11-04,144.05,144.85,143.35,144.1,1114216
2021-11-08,144.95,147.45,143.75,146.8,16568525
2021-11-09,148.3,149.85,146.9,148.45,13601954
2021-11-10,148.5,150.4,148.25,149.45,13900618
2021-11-11,148.4,148.65,145.05,145.5,14158749
2021-11-12,145.9,147.5,145.3,146.55,10552485
2021-11-15,148.25,153.8,147.8,149.55,45750584
2021-11-16,151.05,151.35,148.6,148.95,12956283
2021-11-17,148.8,150.9,148.4,149.2,11420415
2021-11-18,148.8,148.8,145.7,146.2,18351511
2021-11-22,143.35,145.7,138.35,138.9,21558590
2021-11-23,138.15,139.95,135.9,139.05,21216047
2021-11-24,141.2,147.7,141.2,145.45,36294271
2021-11-25,145.9,147.8,144.55,147.0,11554142
2021-11-26,144.3,144.3,138.6,139.4,23135841
2021-11-29,137.45,138.4,134.5,136.55,18736522
2021-11-30,135.85,140.0,133.7,134.65,22980651
2021-12-01,134.95,136.15,132.35,134.8,14278744
2021-12-02,133.15,137.1,133.05,136.45,8561767
2021-12-03,136.45,139.2,135.65,138.25,10690334
2021-12-06,138.15,138.2,135.3,135.85,7749262
2021-12-07,137.45,138.6,136.95,138.25,10253663
2021-12-08,139.35,142.5,139.15,140.65,12266948
2021-12-09,141.7,142.05,138.7,139.65,7989291
2021-12-10,138.6,140.25,137.9,139.8,10324085
2021-12-13,141.15,142.65,137.75,138.3,13595587
2021-12-14,136.7,139.7,136.4,139.25,12331999
2021-12-15,138.65,139.95,136.1,136.4,10361033
2021-12-16,137.7,138.6,137.0,137.75,12156709
2021-12-17,136.65,137.55,131.25,132.1,17667617
2021-12-20,130.3,130.45,124.75,127.0,17238729
2021-12-21,128.0,129.65,126.8,128.95,8615570
2021-12-22,130.2,130.75,128.2,129.6,4968143
2021-12-23,131.25,133.6,129.95,133.15,6324169
2021-12-24,134.15,134.2,130.0,131.25,5657495
2021-12-27,129.45,130.85,128.9,130.15,4404298
2021-12-28,131.85,133.15,131.25,132.2,8738089
2021-12-29,132.9,133.5,130.25,131.6,6571286
2021-12-30,131.5,133.8,131.25,133.15,11556524
2021-12-31,133.1,135.5,132.15,134.95,6393760
