date,open,high,low,close,volume
2021-07-05,410.7,420.1,407.85,416.45,604551
2021-07-06,413.8,428.55,412.8,421.0,1401791
2021-07-07,421.0,422.5,414.2,416.85,456119
2021-07-08,418.15,424.75,411.8,415.55,577817
2021-07-09,412.3,418.25,404.95,414.5,365773
2021-07-12,417.7,439.4,416.3,434.85,2050546
2021-07-13,438.5,466.5,434.85,457.2,6580918
2021-07-14,457.2,459.35,443.2,445.65,1335251
2021-07-15,445.65,447.55,437.65,439.8,598324
2021-07-16,440.55,459.3,438.95,450.9,1745298
2021-07-19,462.55,471.1,453.6,466.6,2721018
2021-07-20,468.5,471.4,445.15,450.7,1103175
2021-07-22,455.25,462.55,453.2,457.3,713858
2021-07-23,457.3,459.0,444.2,446.2,511172
2021-07-26,446.6,453.6,443.65,445.75,403199
2021-07-27,449.95,457.45,438.75,444.3,613088
2021-07-28,446.25,469.8,434.75,463.65,2159796
2021-07-29,463.55,470.5,447.7,451.1,1358910
2021-07-30,436.2,447.25,431.0,438.35,920047
2021-08-02,442.55,451.4,439.95,445.05,728257
2021-08-03,446.8,456.35,442.9,449.95,691074
2021-08-04,451.4,455.55,437.65,441.2,474032
2021-08-05,443.65,444.05,431.7,434.05,331908
2021-08-06,434.05,443.65,433.7,436.9,265480
2021-08-09,437.65,440.6,421.85,424.1,370615
2021-08-10,424.1,427.7,403.85,406.7,474889
2021-08-11,408.7,414.6,391.3,410.75,703936
2021-08-12,414.0,418.75,410.8,415.05,364499
2021-08-13,417.6,421.45,414.0,417.05,293576
2021-08-16,414.95,421.15,410.0,412.0,245269
2021-08-17,411.75,422.45,402.85,411.7,305806
2021-08-18,412.8,418.35,407.9,411.0,305517
2021-08-20,406.7,409.2,399.05,401.7,269968
2021-08-23,402.85,407.55,387.9,391.2,351441
2021-08-24,391.2,402.8,389.35,401.5,233114
2021-08-25,404.75,407.85,395.9,398.45,235805
2021-08-26,397.9,402.05,391.7,393.1,228790
2021-08-27,393.8,396.55,389.2,391.85,248171
2021-08-30,392.45,410.35,392.45,400.15,352761
2021-08-31,404.85,407.05,400.85,402.35,208305
2021-09-01,402.75,425.0,402.75,418.65,1349455
2021-09-02,417.75,424.65,413.9,417.15,455163
2021-09-03,417.65,422.9,412.05,414.2,472215
2021-09-06,416.4,432.1,415.15,421.25,973221
2021-09-07,421.65,434.8,415.15,431.0,1266713
2021-09-08,433.95,441.3,428.25,431.15,1221615
2021-09-09,431.65,439.45,429.7,433.25,522463
2021-09-13,432.7,436.15,424.85,427.15,365214
2021-09-14,431.35,434.4,428.65,431.35,315372
2021-09-15,431.9,435.2,425.75,427.65,316514
2021-09-16,429.4,433.7,423.0,423.75,299063
2021-09-17,425.75,429.45,414.85,416.6,497584
2021-09-20,413.8,415.8,407.9,409.0,317257
2021-09-21,408.95,414.55,403.05,411.15,255932
2021-09-22,413.8,437.15,411.95,433.15,2168343
2021-09-23,462.05,462.05,440.95,445.1,3101211
2021-09-24,447.6,447.6,431.5,438.1,906523
2021-09-27,440.35,453.9,439.6,445.55,1478564
2021-09-28,458.45,469.5,449.8,455.05,4596062
2021-09-29,454.6,462.3,447.5,450.15,1153582
2021-09-30,451.05,460.3,448.75,456.55,853458
2021-10-01,449.6,455.55,442.7,450.1,595107
2021-10-04,452.8,454.3,448.85,449.9,343790
2021-10-05,449.9,461.55,449.9,458.1,1177714
2021-10-06,464.1,468.7,454.65,461.0,1836178
2021-10-07,465.1,481.6,458.75,469.45,2810074
2021-10-08,471.25,473.9,463.05,464.3,595655
2021-10-11,464.9,468.15,459.55,463.0,476094
2021-10-12,461.55,465.4,457.55,458.1,375300
2021-10-13,459.75,472.5,458.65,460.95,822587
2021-10-14,463.55,470.1,458.55,459.3,445084
2021-10-18,462.5,484.15,458.05,471.6,1385777
2021-10-19,474.45,481.45,458.55,463.0,915716
2021-10-20,462.55,462.55,448.6,453.15,556139
2021-10-21,456.45,459.55,449.45,454.9,277237
2021-10-22,455.7,465.15,440.4,448.4,434429
2021-10-25,449.6,451.1,433.45,438.9,336919
2021-10-26,439.3,450.6,439.3,448.15,284985
2021-10-27,451.8,462.35,449.6,455.4,367176
2021-10-28,467.4,467.4,449.25,451.8,688406
2021-10-29,452.1,465.2,443.7,454.95,617565
2021-11-01,458.1,469.1,455.55,463.85,843652
2021-11-02,466.5,486.0,465.65,483.35,1467721
2021-11-03,482.45,506.6,477.55,498.15,2931885
2021-11-04,502.55,509.75,499.35,503.2,490772
2021-11-08,506.6,518.05,500.2,509.7,1118362
2021-11-09,508.1,521.4,505.3,515.7,731416
2021-11-10,514.25,516.8,500.35,502.6,402430
2021-11-11,504.65,506.75,494.7,496.85,361689
2021-11-12,497.15,509.5,490.65,504.3,519103
2021-11-15,503.3,515.05,494.7,506.0,548136
2021-11-16,507.3,516.9,501.85,505.6,601192
2021-11-17,505.6,512.25,504.25,507.7,302048
2021-11-18,507.7,512.1,496.85,499.55,293270
2021-11-22,498.8,525.1,491.75,503.8,1425842
2021-11-23,508.3,600.6,508.3,585.1,7734199
2021-11-24,584.9,631.65,577.9,617.1,9299372
2021-11-25,608.75,632.65,605.55,620.45,2976691
2021-11-26,606.75,619.7,581.4,592.7,1959654
2021-11-29,592.85,670.15,573.3,654.25,8019857
2021-11-30,649.5,672.8,628.65,637.65,2074202
2021-12-01,643.45,659.45,626.65,633.65,1036663
2021-12-02,640.5,640.6,607.25,611.7,950550
2021-12-03,612.7,631.5,611.7,620.5,579790
2021-12-06,624.65,626.45,587.25,595.95,331781
2021-12-07,601.55,648.5,601.25,633.7,853020
2021-12-08,641.6,654.2,632.3,636.65,516957
2021-12-09,636.6,655.5,625.8,642.55,582137
2021-12-10,641.55,664.15,640.25,653.05,1051924
2021-12-13,657.5,665.35,647.55,654.6,629656
2021-12-14,654.6,704.65,646.55,685.45,3155066
2021-12-15,688.85,698.55,666.55,673.3,1056176
2021-12-16,678.2,679.1,658.5,663.6,466525
2021-12-17,664.25,664.25,636.6,641.9,475572
2021-12-20,638.55,638.55,582.0,600.95,745101
2021-12-21,609.75,621.6,599.85,604.0,379861
2021-12-22,611.05,636.3,607.5,631.8,581784
2021-12-23,635.5,642.7,627.0,632.3,284877
2021-12-24,636.5,636.6,616.85,619.7,292964
2021-12-27,614.7,624.15,607.75,612.05,283766
2021-12-28,616.6,624.7,613.75,615.6,234006
2021-12-29,621.95,631.55,608.05,613.5,529437
2021-12-30,609.75,616.6,597.9,601.25,293995
2021-12-31,603.8,629.35,603.5,618.25,617873
2022-01-03,619.6,621.65,609.95,611.95,270840
2022-01-04,616.6,628.65,611.05,624.7,358650
2022-01-05,615.7,636.6,613.2,626.6,377017
2022-01-06,621.75,638.4,616.7,631.55,408158
2022-01-07,631.65,651.35,631.65,636.15,565970
2022-01-10,640.55,658.5,640.1,646.5,497211
2022-01-11,650.5,663.15,639.6,644.45,670789
2022-01-12,649.55,653.65,631.65,635.0,340873
2022-01-13,636.6,641.6,626.65,640.0,381605
2022-01-14,641.6,687.25,633.6,676.65,1506161
2022-01-17,676.3,789.4,667.45,778.0,5809360
2022-01-18,780.65,784.35,725.15,730.5,1739838
2022-01-19,734.2,790.8,734.1,754.95,3799659
2022-01-20,758.75,795.75,758.05,785.2,1714671
2022-01-21,779.65,779.8,733.25,747.05,876029
2022-01-24,748.95,774.65,724.4,730.75,1490077
2022-01-25,731.4,785.8,711.3,780.0,1609663
2022-01-27,790.8,814.65,767.0,773.5,3393726
2022-01-28,780.5,800.75,762.5,769.5,1006699
2022-01-31,778.25,784.6,747.7,756.1,827770
2022-02-01,763.75,770.6,735.1,762.0,660672
2022-02-02,768.9,782.1,751.1,770.95,659518
2022-02-03,770.9,774.85,749.2,755.55,584264
2022-02-04,757.65,785.35,755.5,777.9,792136
2022-02-07,773.9,775.85,746.6,750.25,596505
2022-02-08,753.95,758.35,706.25,710.8,688338
2022-02-09,715.85,728.0,706.25,721.0,455781
2022-02-10,720.15,752.85,714.15,748.5,522615
2022-02-11,740.45,744.05,721.9,725.85,260380
2022-02-14,709.95,714.2,682.35,689.45,374120
2022-02-15,690.3,737.6,667.9,729.55,542623
2022-02-16,737.05,752.65,716.2,723.75,630880
2022-02-17,723.75,730.6,717.3,721.45,317946
2022-02-18,718.1,750.9,716.2,732.0,634191
2022-02-21,727.5,730.0,695.3,699.35,356585
2022-02-22,673.4,692.1,662.45,674.65,626259
2022-02-23,682.9,767.6,679.4,747.25,2488423
2022-02-24,707.5,734.1,685.35,691.0,997818
2022-02-25,705.95,752.0,705.95,724.4,1057999
2022-02-28,715.7,735.85,702.05,729.65,752899
2022-03-02,717.25,773.9,717.25,757.05,992029
2022-03-03,756.95,776.7,720.9,726.2,551249
2022-03-04,716.2,734.95,688.6,697.05,678092
2022-03-07,690.3,690.3,641.65,654.4,891241
2022-03-08,663.45,675.45,648.85,671.55,661109
2022-03-09,678.15,693.0,671.55,683.0,583083
2022-03-10,701.25,727.15,692.5,701.65,909289
2022-03-11,701.75,712.8,694.85,705.45,360986
2022-03-14,708.2,714.95,701.55,705.5,281124
2022-03-15,709.0,723.3,680.6,685.55,463250
2022-03-16,695.3,703.25,688.35,698.9,302831
2022-03-17,708.7,714.3,701.35,708.95,323708
2022-03-21,714.75,738.9,705.9,734.45,974617
2022-03-22,737.95,773.6,735.65,768.7,1347973
2022-03-23,775.7,786.95,761.8,769.7,1036570
2022-03-24,768.9,771.5,752.0,758.0,353213
2022-03-25,760.9,778.15,748.0,749.9,518142
2022-03-28,750.5,754.0,712.55,726.0,468332
2022-03-29,729.1,755.85,724.05,749.15,635102
2022-03-30,755.9,850.95,753.1,833.25,7340674
2022-03-31,825.5,856.45,820.65,850.1,2847947
2022-04-01,845.5,863.4,834.55,842.75,1109705
2022-04-04,847.0,863.4,837.85,851.6,746253
2022-04-05,849.45,854.25,810.8,821.05,732093
2022-04-06,821.05,850.45,819.15,842.25,728876
2022-04-07,845.9,883.9,839.3,855.3,1764118
2022-04-08,863.6,887.0,863.25,871.2,1134034
2022-04-11,870.85,922.1,869.6,914.85,1813306
2022-04-12,920.1,955.6,916.45,949.55,3130674
2022-04-13,950.05,958.8,918.1,925.7,864107
2022-04-18,927.05,927.05,890.2,893.2,592164
2022-04-19,899.5,918.1,866.4,878.95,785187
2022-04-20,879.8,892.75,850.45,856.6,444074
2022-04-21,865.1,912.15,864.4,906.3,918460
2022-04-22,894.25,921.8,888.8,905.35,854068
2022-04-25,895.05,910.7,872.9,880.55,493998
2022-04-26,891.25,905.2,875.95,882.95,385916
2022-04-27,876.35,890.05,853.45,858.8,490157
2022-04-28,865.4,867.55,821.9,826.85,463638
2022-04-29,833.55,852.4,821.6,826.4,417730
2022-05-02,815.65,845.0,804.95,837.75,462740
2022-05-04,845.5,882.8,790.85,801.55,1130213
2022-05-05,810.7,827.95,806.2,820.6,535138
2022-05-06,791.8,811.7,771.85,775.95,606386
2022-05-09,769.9,792.8,752.7,786.0,547623
2022-05-10,786.0,813.5,775.85,782.95,520073
2022-05-11,785.2,797.65,756.95,781.65,535499
2022-05-12,776.75,776.75,733.1,741.35,492714
2022-05-13,750.0,777.85,749.25,768.35,475522
2022-05-16,775.85,820.6,772.95,807.85,556830
2022-05-17,857.45,863.4,828.7,847.35,2154478
2022-05-18,840.5,879.3,840.5,857.4,812632
2022-05-19,830.55,851.95,827.7,841.1,459065
2022-05-20,855.5,879.2,852.85,874.95,448287
2022-05-23,879.3,920.0,872.05,892.85,901962
2022-05-24,901.2,942.4,898.2,911.1,1415771
2022-05-25,914.15,924.05,850.45,857.1,646322
2022-05-26,864.3,900.1,830.55,884.6,826870
2022-05-27,895.85,953.35,895.85,920.25,1613825
2022-05-30,928.9,981.75,910.4,961.7,1862648
2022-05-31,958.0,992.9,940.2,976.5,2027292
2022-06-01,981.75,1078.15,976.55,1060.0,2598558
2022-06-02,1052.4,1271.95,1044.5,1264.75,10829664
2022-06-03,1268.15,1268.25,1138.3,1138.3,2873460
2022-06-06,1081.1,1122.0,1032.2,1069.1,2677519
2022-06-07,1064.35,1108.5,1021.55,1032.1,909443
2022-06-08,1044.45,1048.9,960.0,978.15,1036802
2022-06-09,978.5,1027.05,975.8,986.85,933092
2022-06-10,975.8,983.45,959.9,963.6,351820
2022-06-13,939.95,942.4,915.45,915.45,263949
2022-06-14,895.25,921.85,869.7,869.7,591800
2022-06-15,884.2,913.2,879.3,913.2,387904
2022-06-16,926.15,946.85,870.85,894.75,496545
2022-06-17,885.3,905.75,877.5,892.6,162052
2022-06-20,875.85,883.5,848.0,848.05,436769
2022-06-21,854.45,890.4,850.5,876.45,365774
2022-06-22,863.4,874.75,832.6,832.6,183225
2022-06-23,832.6,852.3,792.35,808.2,512724
2022-06-24,824.6,848.6,816.75,848.6,321970
2022-06-27,863.4,875.25,851.7,855.4,189843
2022-06-28,860.35,894.25,850.45,878.3,211095
2022-06-29,875.25,922.25,865.5,902.9,469187
2022-06-30,906.15,918.7,857.1,872.8,269272
2022-07-01,873.25,889.2,860.45,875.25,131563
2022-07-04,877.35,885.0,848.45,859.15,139947
2022-07-05,870.25,902.1,859.15,902.1,394529
2022-07-06,915.1,947.15,911.45,945.6,532612
2022-07-07,950.95,972.8,917.1,921.9,309902
2022-07-08,931.05,967.95,930.05,964.75,393080
2022-07-11,959.9,987.75,929.05,972.45,209484
2022-07-12,972.45,989.75,952.1,959.25,155820
2022-07-13,967.75,972.8,917.1,926.85,189723
2022-07-14,934.8,949.95,927.05,941.75,140702
2022-07-15,944.95,967.25,942.0,956.55,138113
2022-07-18,957.9,983.75,957.9,974.65,183972
2022-07-19,977.7,1022.5,975.3,1018.45,355598
2022-07-20,995.7,1006.9,967.6,971.15,439418
2022-07-21,978.7,979.3,937.3,965.25,326033
2022-07-22,972.7,988.55,947.05,958.85,236335
2022-07-25,949.95,967.6,945.95,951.75,117736
2022-07-26,953.9,970.85,926.05,935.05,187411
2022-07-27,940.0,943.5,912.35,923.45,157362
2022-07-28,932.95,959.8,930.15,951.1,130496
2022-07-29,959.9,968.85,946.95,952.75,80163
2022-08-01,954.9,976.8,952.55,972.45,161019
2022-08-02,970.85,993.6,962.35,985.6,200745
2022-08-03,991.7,991.7,948.35,958.8,142208
