date,open,high,low,close,volume
2021-07-05,108.47,110.03,107.49,109.55,76799000
2021-07-06,109.69,111.6,108.86,110.52,91468350
2021-07-07,110.62,116.19,109.69,115.56,167456260
2021-07-08,116.19,116.68,111.89,112.72,124105850
2021-07-09,112.97,118.05,112.57,117.61,178593560
2021-07-12,118.73,119.46,115.56,116.39,166477750
2021-07-13,117.46,118.0,115.99,116.53,79155280
2021-07-14,116.87,118.39,115.6,118.1,83413880
2021-07-15,118.24,120.2,117.41,119.22,96555510
2021-07-16,120.05,121.71,119.51,121.42,84969250
2021-07-19,119.51,122.64,118.98,120.25,89046290
2021-07-20,120.78,120.83,116.19,117.02,85799400
2021-07-22,118.54,121.37,118.44,120.88,78940240
2021-07-23,121.52,123.08,120.98,121.71,86418650
2021-07-26,122.44,124.3,121.37,123.32,86784330
2021-07-27,124.99,126.89,124.3,126.5,103413820
2021-07-28,126.65,130.36,124.11,129.87,128351250
2021-07-29,130.85,141.3,130.16,139.01,300610410
2021-07-30,138.72,140.38,136.03,136.66,140492650
2021-08-02,137.79,137.88,133.83,134.27,97689200
2021-08-03,134.66,135.34,132.36,133.98,86405600
2021-08-04,135.25,137.98,133.78,134.86,112894350
2021-08-05,134.81,138.18,132.07,137.84,162217990
2021-08-06,138.08,138.86,135.83,136.13,96740250
2021-08-09,136.61,137.49,133.83,134.46,78594930
2021-08-10,134.46,135.05,130.07,130.7,84516230
2021-08-11,132.31,136.17,131.73,135.83,145353570
2021-08-12,136.81,137.64,134.9,136.76,109431080
2021-08-13,133.78,140.77,132.36,139.3,289698720
2021-08-16,141.5,146.43,140.33,144.97,271144880
2021-08-17,144.97,146.39,142.23,143.41,189709230
2021-08-18,143.99,144.92,141.89,143.11,123317450
2021-08-20,137.69,137.88,129.68,130.9,273400690
2021-08-23,133.49,134.27,124.55,129.24,229257290
2021-08-24,131.53,135.25,131.04,133.73,176075790
2021-08-25,135.05,135.83,131.39,132.31,125650100
2021-08-26,132.36,132.75,129.87,130.85,91578980
2021-08-27,131.24,132.75,130.95,131.73,73940810
2021-08-30,133.19,137.69,133.1,137.25,134443870
2021-08-31,137.69,139.06,136.42,138.18,247521080
2021-09-01,138.28,138.72,133.98,134.37,88128970
2021-09-02,134.37,136.42,134.27,135.73,61480460
2021-09-03,136.03,138.47,134.9,137.54,84523820
2021-09-06,137.88,138.37,135.54,136.91,69586760
2021-09-07,137.59,139.06,135.29,136.08,63527170
2021-09-08,135.83,137.44,135.1,136.22,46762240
2021-09-09,135.25,138.37,135.25,137.88,53130300
2021-09-13,137.88,140.33,136.86,139.5,56702080
2021-09-14,140.72,140.72,138.08,138.42,55037670
2021-09-15,138.42,139.5,137.64,138.67,44174640
2021-09-16,139.15,140.33,136.32,136.86,56067970
2021-09-17,136.91,137.25,129.38,131.92,195720300
2021-09-20,128.41,128.6,118.39,118.93,282384120
2021-09-21,119.42,123.23,116.97,122.74,255935400
2021-09-22,123.47,125.28,121.86,124.11,111242470
