date,open,high,low,close,volume
2021-07-05,16.6,17.2,16.5,17.2,30045663
2021-07-06,18.0,18.05,17.75,18.05,11758209
2021-07-07,18.05,18.05,17.15,17.15,25943417
2021-07-08,17.2,17.85,17.0,17.3,19801665
2021-07-09,17.4,17.55,17.2,17.4,9072116
2021-07-12,17.85,18.25,17.4,17.9,38585284
2021-07-13,18.15,18.15,17.6,17.85,14876023
2021-07-14,18.0,18.3,17.75,17.95,21598047
2021-07-15,18.05,18.3,17.55,17.65,13470718
2021-07-16,17.85,18.05,17.65,17.7,10758298
2021-07-19,17.55,18.05,17.5,17.65,13924694
2021-07-20,17.7,17.75,16.9,17.3,13837543
2021-07-22,17.45,18.05,17.35,17.75,13233569
2021-07-23,18.0,18.05,17.45,17.6,11924290
2021-07-26,17.6,17.85,17.0,17.1,15041682
2021-07-27,17.25,17.95,17.15,17.95,26155478
2021-07-28,18.7,18.8,18.25,18.8,90683543
2021-07-29,19.7,19.7,19.35,19.7,41138982
2021-07-30,20.45,20.65,19.85,20.65,57962374
2021-08-02,21.15,21.65,19.85,20.15,118328183
2021-08-03,19.95,21.15,19.5,21.15,32915918
2021-08-04,22.2,22.2,21.6,22.15,59114236
2021-08-05,22.6,22.65,21.05,21.05,32776559
2021-08-06,20.75,21.45,20.0,20.35,26199569
2021-08-09,20.9,21.35,20.6,21.0,27122375
2021-08-10,21.0,21.1,19.95,19.95,20093507
2021-08-11,19.8,20.35,19.0,19.55,30099267
2021-08-12,19.5,20.5,19.1,20.45,25303457
2021-08-13,21.45,21.45,21.45,21.45,5829787
2021-08-16,21.9,22.3,20.7,21.05,47813108
2021-08-17,21.05,21.1,20.25,20.55,16365227
2021-08-18,20.75,21.1,20.5,20.65,15402700
2021-08-20,20.25,20.75,20.1,20.2,18607996
2021-08-23,20.65,20.65,19.2,19.5,22513349
2021-08-24,19.5,20.45,19.5,20.45,16012280
2021-08-25,20.85,21.15,20.35,20.45,15894004
2021-08-26,20.5,20.95,20.2,20.35,9232645
2021-08-27,20.35,20.5,20.05,20.15,7826611
2021-08-30,20.35,20.5,20.15,20.2,7299181
2021-08-31,20.4,21.2,20.15,20.65,18666411
2021-09-01,20.75,21.65,20.45,21.55,18303344
2021-09-02,21.55,22.6,21.3,22.6,34893154
2021-09-03,23.2,23.7,22.9,23.7,73696269
2021-09-06,24.3,24.65,23.1,23.9,49866601
2021-09-07,23.9,24.35,23.35,23.6,17317511
2021-09-08,23.75,24.75,23.75,24.75,39542752
2021-09-09,25.1,25.95,25.1,25.5,84637159
2021-09-13,26.15,26.25,24.85,25.25,34971571
2021-09-14,25.75,25.75,24.9,25.05,18338855
2021-09-15,25.3,25.3,24.1,24.6,21228710
2021-09-16,24.7,25.55,24.5,24.6,17858677
2021-09-17,24.75,24.95,23.4,23.75,21806960
2021-09-20,23.9,24.8,23.75,24.1,15964923
2021-09-21,24.2,24.45,23.1,23.9,17826931
2021-09-22,23.9,24.45,23.85,23.95,11885362
2021-09-23,24.2,24.85,24.2,24.35,13111647
2021-09-24,24.75,24.85,24.05,24.2,10031089
2021-09-27,24.75,24.75,24.3,24.55,10333497
2021-09-28,24.9,25.75,24.45,25.75,57760142
2021-09-29,25.75,27.0,25.35,26.75,56542648
2021-09-30,27.0,28.05,26.4,28.0,61800646
2021-10-01,27.9,29.4,27.6,29.4,57358051
2021-10-04,30.4,30.85,30.1,30.85,43005012
2021-10-05,32.35,32.35,32.35,32.35,3094094
2021-10-06,33.95,33.95,32.55,33.95,34259205
2021-10-07,35.0,35.6,32.3,32.4,157141056
2021-10-08,32.0,34.0,30.85,34.0,35258640
2021-10-11,35.7,35.7,35.7,35.7,2756853
2021-10-12,36.8,37.45,36.1,37.45,49109093
2021-10-13,39.3,39.3,37.5,39.3,41697430
2021-10-14,40.7,41.25,37.35,38.45,119480991
2021-10-18,40.3,40.35,39.3,40.35,20951675
2021-10-19,42.35,42.35,40.35,41.85,60725782
2021-10-20,42.0,43.35,39.8,40.2,62783403
