date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol
2021-09-15,138.42,139.5,137.64,138.67,44174640,0.0018060973847708883,0.019032921810699488,0.008342530080760385,62305411.0,136.1015,130.2794,1,0.13440852988788618,57.427107120476215,3.902136075150905,0.1444436431816543,0.3048244032595369,0.4492680464411912,0,TATASTEEL
2021-09-16,139.15,140.33,136.32,136.86,56067970,-0.013052570851662004,0.00469828219057411,0.011349276078908316,59099311.0,135.774,130.8256,1,-0.5710721767899761,53.56235358218471,3.9098406412115563,0.1595791319596666,0.2956305713868187,0.4552097033464853,0,TATASTEEL
2021-09-17,136.91,137.25,129.38,131.92,195720300,-0.03609527984802008,-0.04322599361763857,0.018020214452098744,72523295.0,135.2145,131.2536,0,-0.6340532866514256,44.717078501981796,4.192709166839302,0.20300181928441483,0.26925409338993317,0.472255912674348,0,TATASTEEL
2021-09-20,128.41,128.6,118.39,118.93,282384120,-0.09846876895087919,-0.14745519713261646,0.04036355221128821,92309325.0,134.61599999999999,131.321,0,-0.9285013782075042,30.468542215906695,4.8596585120650655,0.33439838560497753,0.18943916589590515,0.5238375515008827,0,TATASTEEL
2021-09-21,119.42,123.23,116.97,122.74,255935400,0.03203565122340857,-0.11327842797283627,0.0490151455490423,110944189.0,134.291,131.5214,0,0.5303513529790156,36.82669469674995,4.959682904060419,0.29297702460485575,0.21459996741078696,0.5075769920156427,0,TATASTEEL
2021-09-22,123.47,125.28,121.86,124.11,111242470,0.011161805442398531,-0.10499747602221088,0.050347626116334115,115715719.0,133.81,131.6514,0,0.18713444820630176,38.98717837153072,4.84970555377039,0.2787043751510756,0.22326968012247195,0.5019740552735475,0,TATASTEEL
2021-09-23,126.45,127.38,124.11,125.33,99462510,0.009829989525421023,-0.08424667543475095,0.052241797722609,120985746.0,133.461,131.8302,0,-0.3425075405175735,40.924703076261935,4.73686944278679,0.2662570813053538,0.23083060719699985,0.49708768850235363,0,TATASTEEL
2021-09-24,125.47,125.86,119.46,120.78,132866160,-0.036304157025452755,-0.08444511825348688,0.05226165689844401,128959332.0,132.9575,131.9152,0,-0.7328123854980637,36.29541549944331,4.855664482587733,0.3139592647789368,0.20185461169067723,0.5158138764696141,1,TATASTEEL
2021-09-27,120.78,122.4,119.71,120.64,86688770,-0.001159132306673305,0.014378205667199051,0.02509175339328582,131958001.0,132.403,131.966,0,-0.052044590317996145,36.15987879803594,4.700974162402896,0.3154840848806365,0.20092838196286467,0.5164124668435012,1,TATASTEEL
2021-09-28,120.93,123.23,119.9,121.66,81007360,0.008454907161803638,-0.00879908750203684,0.019994888852383007,134554970.0,131.6235,132.0148,0,0.21921915338763864,37.97712533595745,4.603047436516975,0.30445503863225376,0.20762781522275187,0.5120828538550056,1,TATASTEEL
2021-09-29,120.59,124.5,120.29,123.08,94945770,0.011671872431366026,-0.00829908951736369,0.02007742881402241,139632083.0,130.86849999999998,132.048,0,0.5914487906297405,40.51573036933639,4.574972619622905,0.2894052648683782,0.21676958076048092,0.5061748456288592,0,TATASTEEL
2021-09-30,123.81,125.13,121.96,122.44,75145680,-0.005199870003249951,-0.023059123912870017,0.019055933668254213,141539854.0,130.272,132.0918,0,-0.4321765198181337,39.72650699475015,4.474617432506983,0.29614505063704666,0.2126755962103887,0.5088206468474353,0,TATASTEEL
2021-10-01,121.08,124.59,120.1,123.32,90374700,0.007187193727540064,0.021029971849643836,0.007069899019584439,131005294.0,129.6515,132.21779999999998,0,0.4988863031433602,41.41632623743526,4.475716187327913,0.2868958806357444,0.21829386960752506,0.5051897502432694,1,TATASTEEL
2021-10-04,123.32,126.21,121.61,125.86,96902370,0.02059682127797613,0.04326923076923084,0.009297807452488174,112457119.0,129.0675,132.31740000000002,0,0.5521737930056992,46.1124353131709,4.4845936025187765,0.2609248371206101,0.23406960114412834,0.4949944382647385,0,TATASTEEL
2021-10-05,124.89,126.7,124.5,125.18,57952160,-0.005402828539647131,0.02893309222423146,0.011200952067762927,92658795.0,128.481,132.3868,0,0.13181812190085634,45.07079759837977,4.321408345196007,0.26777440485700577,0.2299089311391596,0.4976833359961654,0,TATASTEEL
2021-10-06,125.47,126.3,120.88,121.56,86316930,-0.0289183575651063,-0.012349691257718565,0.018308698630764637,90166241.0,127.75500000000002,132.3516,0,-0.7214020809221244,39.90317876761403,4.399879177682006,0.30552813425468894,0.2069759789404409,0.5125041131951298,1,TATASTEEL
2021-10-07,123.03,124.2,121.91,122.44,46033670,0.007239223428759489,0.0,0.018665841404039832,84823357.0,127.06599999999999,132.2704,0,-0.25764180889004057,41.65448264257435,4.2741735221332915,0.29614505063704666,0.2126755962103887,0.5088206468474353,1,TATASTEEL
2021-10-08,123.71,127.82,123.18,123.62,107220150,0.009637373407383354,0.002432695426532794,0.018927420690401285,82258756.0,126.353,132.1454,0,-0.01939654754384524,44.01061520649977,4.353161127695199,0.28377285228927346,0.22019090762012616,0.5039637599093996,1,TATASTEEL
2021-10-11,124.01,126.21,123.32,124.79,63496580,0.009464487946934108,-0.00850150961385665,0.016489295097227647,79939537.0,125.61749999999999,131.861,0,0.26989610038197254,46.32508812966057,4.248649618574114,0.2717365173491464,0.2275022037022197,0.49923872105136613,1,TATASTEEL
2021-10-12,124.79,126.94,124.01,126.35,60970190,0.012501001682827084,0.009346540980987195,0.017376077106330573,77935820.0,125.01400000000001,131.6548,1,0.53242302647678,49.33254180601185,4.154460360104534,0.2560348239018599,0.23703996834190733,0.4930747922437672,1,TATASTEEL
2021-10-13,126.01,131.0,125.28,128.85,132857180,0.019786307874950504,0.05997038499506413,0.004877938907508115,81726961.0,124.523,131.5464,1,0.4965034097021993,53.80008609465022,4.266284620097067,0.2316647264260768,0.2518432285603414,0.4835079549864182,0,TATASTEEL
2021-10-14,130.75,132.36,128.8,130.85,82273710,0.015521924718665092,0.06868670369160412,0.004351428614763635,82439764.0,124.2225,131.4838,1,0.028089879750032163,57.06188647462867,4.215835718661562,0.21283912877340463,0.2632785632403515,0.4761176920137561,0,TATASTEEL
2021-10-18,135.05,135.69,132.41,134.37,109232300,0.026901031715705015,0.08696003882866843,0.006798297005396178,84325524.0,124.345,131.474,1,-0.20731700996432822,62.129614405502835,4.260418881614307,0.18106720250055802,0.2825779563890749,0.463645158889633,0,TATASTEEL
2021-10-19,135.34,135.88,129.14,130.07,87569240,-0.032001190741981156,0.04231108261879957,0.023300385532740813,83392211.0,124.902,131.3186,1,-0.7818989937835326,53.77941443976745,4.437531818641857,0.22011224725147996,0.2588606135157991,0.4789728607672791,0,TATASTEEL
2021-10-20,130.56,130.95,126.11,127.77,69757740,-0.017682786192050437,0.011238622872971948,0.025794738830405495,84572769.0,125.15349999999998,131.1514,1,-0.5764461618912914,49.91508538957865,4.466279545881724,0.2420756046020192,0.24551929247867255,0.48759489708069176,0,TATASTEEL
2021-10-21,129.04,129.19,122.49,124.94,83575730,-0.02214917429756591,-0.03034536282499023,0.025587823281892724,84298649.0,125.19500000000001,130.961,0,-0.6119402071731023,45.575641257891775,4.625831006890173,0.27020970065631494,0.22842964623019044,0.4986393468865054,0,TATASTEEL
2021-10-22,125.47,125.91,120.69,123.13,80712890,-0.014486953737794184,-0.05899885364921664,0.02266470351221996,87766571.0,125.085,130.8096,0,-0.4482757761923808,43.000771014221016,4.668271649255161,0.28888166977990737,0.2170876309591488,0.5059693007390562,0,TATASTEEL
2021-10-25,123.71,125.08,120.29,122.88,64185010,-0.002030374401039592,-0.0855101585175263,0.01095645775666991,83463057.0,125.19000000000001,130.5506,0,-0.17327762562053736,42.642418459240744,4.67696653145122,0.29150390624999994,0.2154947916666666,0.5069986979166665,1,TATASTEEL
2021-10-26,123.81,128.5,123.67,127.77,77228750,0.039794921875,-0.017682786192050437,0.025229385117868586,84836274.0,125.54650000000001,130.3708,1,0.8198756066510121,51.20765712183587,4.744326064918989,0.2420756046020192,0.24551929247867255,0.48759489708069176,0,TATASTEEL
2021-10-27,128.01,128.55,125.57,126.06,72418040,-0.013383423338811928,-0.013383423338811928,0.02468448386161694,85981059.0,125.7665,130.106,1,-0.654362196522745,48.481228166992786,4.618302774567634,0.2589243217515468,0.2352847850230049,0.49420910677455165,0,TATASTEEL
2021-10-28,124.99,125.08,122.64,123.47,93076820,-0.020545771854672434,-0.011765647510805222,0.024373056304532965,82003023.0,125.78599999999999,129.67600000000002,0,-0.6229505643645217,44.607283670186874,4.532709719241375,0.28533246942577134,0.21924354094111925,0.5045760103668906,0,TATASTEEL
2021-10-29,122.54,126.79,122.54,125.08,79147600,0.013039604762290491,0.015836920328108572,0.023990005449840784,81690412.0,125.91799999999998,129.30939999999998,0,0.5976469182007232,47.41990916031714,4.51251616786699,0.2687879756955548,0.2292932523185161,0.49808122801407084,0,TATASTEEL
2021-11-01,127.43,130.65,126.45,129.87,96875330,0.03829549088583306,0.056884765625,0.028138362016621284,80454715.0,126.24550000000002,129.0446,1,0.5809522426304174,54.77709933006224,4.588050727305062,0.22199122199122187,0.2577192577192577,0.4797104797104796,0,TATASTEEL
2021-11-02,130.36,130.36,124.59,124.84,72161370,-0.03873103873103878,-0.022931830633168948,0.030195039876598488,78913928.0,126.19449999999999,128.92340000000002,0,-0.9566722778730888,47.29351885016094,4.672475675354702,0.2712271707785965,0.22781159884652352,0.49903876962512,1,TATASTEEL
2021-11-03,125.96,126.65,124.69,126.06,57302440,0.009772508811278335,0.0,0.030222630527710823,77668398.0,126.23850000000002,128.8598,0,0.05102038213246224,49.10954971417085,4.478727412829367,0.2589243217515468,0.2352847850230049,0.49420910677455165,0,TATASTEEL
2021-11-04,126.55,126.94,125.86,126.06,6744340,0.0,0.020976755487162935,0.027982266998209153,69985259.0,126.4635,128.7064,0,-0.4537032836080667,49.10954971417085,4.235961169055841,0.2589243217515468,0.2352847850230049,0.49420910677455165,0,TATASTEEL
2021-11-08,127.53,128.16,124.11,127.72,54936670,0.013168332540060224,0.021106491845219066,0.02799217411422715,67407637.0,126.72749999999999,128.6146,1,0.04691356866331585,51.7338841431333,4.222678228408995,0.24256185405574687,0.24522392734105852,0.4877857813968054,0,TATASTEEL
2021-11-09,127.72,129.43,126.35,127.04,47565160,-0.005324146570623189,-0.02179102179102177,0.020665089548271467,65745652.0,126.89849999999998,128.5384,1,-0.22077914909767557,50.58315190590168,4.141058354951211,0.2492128463476069,0.241183879093199,0.49039672544080587,0,TATASTEEL
2021-11-10,126.26,126.35,122.25,123.37,118804170,-0.028888539042821182,-0.011775072092278127,0.016631222448097213,69903194.0,126.82749999999999,128.3712,0,-0.7048778768590556,44.792277172742985,4.187411329597554,0.28637432114776673,0.21861068331036718,0.5049850044581339,0,TATASTEEL
2021-11-11,124.01,125.91,122.4,123.47,136638600,0.0008105698305909126,-0.020545771854672434,0.01545214413282739,76325250.0,126.68350000000001,128.0956,0,-0.15384611001535545,44.97711898960272,4.139024806054871,0.28533246942577134,0.21924354094111925,0.5045760103668906,0,TATASTEEL
