date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol
2021-09-15,12.6,12.85,12.3,12.7,338102064,0.02008032128514059,0.16513761467889898,0.0507063061405636,200805106.8,11.175,12.174000000000001,1,0.18181785124027017,70.5342711571669,0.4613338733261267,0.9354330708661417,0.007874015748031468,0.9433070866141732,1,YESBANK
2021-09-16,12.95,15.05,12.9,14.7,910231884,0.15748031496062986,0.3486238532110091,0.07079299122832546,276695242.1,11.3475,12.198999999999998,1,0.8139531097892511,83.10287774632275,0.5962385966599749,0.672108843537415,0.14285714285714285,0.8149659863945578,0,YESBANK
2021-09-17,14.35,14.5,12.95,13.25,582883624,-0.09863945578231292,0.21004566210045672,0.10091160017242191,319024118.1,11.445,12.197000000000001,1,-0.709676961498734,62.34100826433656,0.6786501254699767,0.8550943396226414,0.04905660377358493,0.9041509433962263,0,YESBANK
2021-09-20,13.0,13.75,12.7,12.8,180681962,-0.03396226415094339,0.15315315315315314,0.1064523957556741,325950318.7,11.5275,12.187000000000001,1,-0.19047600907046677,57.536764606878045,0.7051751165078356,0.9203124999999998,0.015625000000000083,0.9359374999999999,0,YESBANK
2021-09-21,12.9,13.05,12.55,13.0,110549666,0.015625,0.04417670682730934,0.09433518029896196,331107623.4,11.6375,12.18,1,0.19999960000079928,59.047316782380186,0.6905197510429902,0.8907692307692306,0.030769230769230795,0.9215384615384614,0,YESBANK
2021-09-22,13.1,13.4,13.05,13.15,90746640,0.011538461538461497,0.03543307086614189,0.09423219833573707,334230369.8,11.745000000000001,12.177999999999999,1,0.14285673469504592,60.1911129377611,0.6697683402542053,0.8692015209125473,0.04182509505703427,0.9110266159695817,0,YESBANK
2021-09-23,13.25,13.35,12.95,13.0,78550572,-0.011406844106463865,-0.11564625850340127,0.04652960036290641,327439735.4,11.8475,12.176000000000002,1,-0.6249984375039057,58.433540808197186,0.6504991730931906,0.8907692307692306,0.030769230769230795,0.9215384615384614,0,YESBANK
2021-09-24,13.0,13.3,12.8,12.85,71409608,-0.011538461538461608,-0.030188679245283012,0.020106105402781703,325649682.1,11.942499999999999,12.173000000000002,1,-0.2999994000012007,56.652059898966826,0.6397492321579626,0.9128404669260699,0.019455252918287938,0.9322957198443579,0,YESBANK
2021-09-27,13.0,13.0,12.8,12.9,54816217,0.0038910505836575737,0.0078125,0.012673962832564646,319557469.5,12.035,12.17,1,-0.49999750001249993,57.121330875882954,0.6083385727181081,0.905426356589147,0.023255813953488427,0.9286821705426356,0,YESBANK
2021-09-28,13.0,13.2,12.55,12.75,115261485,-0.011627906976744207,-0.019230769230769273,0.01087934422839205,253323372.2,12.1275,12.154000000000002,1,-0.3846147929003194,55.19100998731086,0.6113143889525289,0.9278431372549019,0.011764705882352969,0.9396078431372548,0,YESBANK
2021-09-29,12.65,12.85,12.2,12.3,195039117,-0.03529411764705881,-0.06463878326996197,0.014041915171336319,239017077.5,12.2025,12.132,1,-0.5384607100604452,49.75845627382732,0.6140776468844911,0.9983739837398371,0.0,0.9983739837398371,1,YESBANK
2021-09-30,12.35,12.75,12.3,12.55,67706218,0.020325203252032464,-0.0346153846153846,0.020662403830221082,154764510.9,12.275,12.119000000000002,1,0.44444345679232133,52.5526701357057,0.6023578149641702,0.9585657370517926,-0.003984063745019835,0.9545816733067728,1,YESBANK
2021-10-01,12.5,13.4,12.4,12.85,199414914,0.0239043824701195,0.0,0.024394001774566288,116417639.9,12.360000000000001,12.116999999999997,1,0.34999965000034966,55.7341652151719,0.6307608281810152,0.9128404669260699,0.019455252918287938,0.9322957198443579,1,YESBANK
2021-10-04,13.05,13.2,13.0,13.1,88762032,0.01945525291828787,0.015503875968992276,0.025921635890804217,107225646.9,12.46,12.118999999999998,1,0.24999875000624552,58.24670894334233,0.6107064833109427,0.8763358778625954,0.03816793893129771,0.914503816793893,0,YESBANK
